Name,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y,Change,Volume
Advertising Agencies,204.40B,41.2,15.64,1.2,3.56,5.33,12.97,20.58,0.0632,0.3443,0.25329999999999997,0.041299999999999996,96390000.0
Aerospace & Defense,1863.90B,45.06,32.81,1.95,3.48,7.92,21.86,42.59,0.2894,0.231,0.0719,0.0060999999999999995,199770000.0
Agricultural Inputs,126.05B,22.24,15.76,4.77,1.6,1.63,14.06,17.39,0.2639,0.0466,0.0529,0.008199999999999999,23860000.0
Airlines,199.54B,14.09,8.87,0.47,0.7,2.88,4.8,17.86,0.1925,0.3015,0.25120000000000003,0.023,146520000.0
Airports & Air Services,41.87B,30.56,18.61,1.72,5.9,6.7,11.27,36.3,0.3282,0.17739999999999997,0.21059999999999998,0.0083,43340000.0
Aluminum,27.01B,17.2,9.82,0.6,1.0,3.02,14.33,33.11,0.3019,0.2851,0.0866,-0.0171,10010000.0
Apparel Manufacturing,79.34B,32.19,20.88,1.84,1.26,4.16,8.95,23.48,0.1855,0.1747,0.0341,0.0031,33220000.0
Apparel Retail,329.38B,26.53,23.53,3.13,2.0,8.88,18.52,31.45,0.8158,0.08460000000000001,0.1091,0.0178,37780000.0
Asset Management,1201.42B,27.36,13.85,1.77,3.17,0.94,9.18,16.6,0.1144,0.1547,0.18359999999999999,-0.0032,272630000.0
Auto & Truck Dealerships,146.75B,26.55,19.43,1.72,0.64,3.71,24.04,20.83,0.0718,0.1542,0.20620000000000002,0.028399999999999998,31400000.0
Auto Manufacturers,2184.01B,58.38,30.39,2.53,1.87,3.54,8.05,80.62,0.2826,0.2309,0.2186,-0.0146,225830000.0
Auto Parts,310.12B,29.43,15.06,1.9,1.09,3.97,12.34,21.48,0.0756,0.1545,0.08460000000000001,-0.0018,100120000.0
Banks - Diversified,3768.80B,14.73,11.35,1.14,2.14,1.72,,10.71,0.235,0.12869999999999998,0.1377,0.005,154950000.0
Banks - Regional,1943.73B,14.23,10.78,1.03,1.9,1.52,1448.92,9.58,0.1813,0.1381,0.1722,0.0002,437300000.0
Beverages - Brewers,251.42B,24.12,15.56,1.84,1.76,2.08,10.39,12.72,-0.105,0.131,0.055099999999999996,0.0068000000000000005,24500000.0
Beverages - Non-Alcoholic,803.16B,27.9,21.17,2.79,3.47,7.7,23.25,37.93,0.1084,0.1,0.09609999999999999,0.0016,86710000.0
Beverages - Wineries & Distilleries,75.46B,23.53,16.66,14.66,2.61,4.35,21.13,19.52,0.053,0.016,0.0582,-0.0026,10080000.0
Biotechnology,1138.54B,60.22,34.01,2.95,10.61,4.94,6.38,52.64,-0.1209,0.204,0.4658,-0.008199999999999999,676630000.0
Broadcasting,16.10B,16.13,14.74,0.23,0.7,1.77,6.47,6.77,0.3005,0.7139,0.3039,0.049,21500000.0
Building Materials,254.82B,27.21,20.53,1.76,2.71,3.08,25.38,30.42,0.2168,0.155,0.0725,0.0078000000000000005,23120000.0
Building Products & Equipment,383.05B,31.48,21.61,2.43,2.73,6.1,40.02,29.27,0.17859999999999998,0.1294,0.06709999999999999,0.0028000000000000004,272000000.0
Business Equipment & Supplies,1.53B,17.49,5.31,4.29,0.17,0.74,1.6,3.83,0.013300000000000001,0.0408,0.1459,0.001,4130000.0
Capital Markets,1156.76B,21.49,16.38,1.56,1.86,3.02,3.03,7.8,0.315,0.1374,0.2377,0.015300000000000001,408260000.0
Chemicals,43.34B,99.57,26.28,4.71,0.48,1.29,4.58,19.68,0.1855,0.2114,0.0279,-0.0044,33040000.0
Coking Coal,8.35B,146.5,12.85,2.11,1.41,1.72,6.21,99.82,-0.3296,0.6954,0.091,-0.0526,12240000.0
Communication Equipment,718.85B,38.25,20.65,1.85,3.81,5.48,15.76,30.55,-0.051399999999999994,0.2069,0.046799999999999994,-0.0118,201860000.0
Computer Hardware,634.03B,40.84,17.38,0.79,2.64,12.62,14.53,32.97,0.0946,0.5196000000000001,0.1047,-0.0098,324730000.0
Confectioners,126.63B,40.6,21.89,3.33,2.48,4.26,39.06,24.91,-0.054400000000000004,0.12210000000000001,0.076,0.0005,12370000.0
Conglomerates,268.46B,27.42,19.79,3.14,2.31,7.89,6.98,29.16,0.0018,0.0872,0.0042,-0.0024,19040000.0
Consulting Services,68.92B,26.03,18.78,2.17,2.63,8.19,18.54,18.77,0.0783,0.1199,0.0605,0.044800000000000006,8910000.0
Consumer Electronics,4150.36B,35.64,28.51,3.16,7.73,28.44,50.68,29.11,0.17550000000000002,0.1127,0.0848,-0.0028000000000000004,45340000.0
Copper,296.88B,44.38,24.01,2.29,7.29,8.62,31.15,61.63,0.21739999999999998,0.19399999999999998,0.1061,0.0001,32299999.999999996
Credit Services,1608.13B,26.6,17.13,1.71,4.54,5.34,11.11,15.09,0.1861,0.156,0.1474,0.0129,192950000.0
Department Stores,19.84B,16.37,15.6,,0.44,1.66,11.92,8.86,-0.0493,-0.008199999999999999,0.0353,0.0109,9380000.0
Diagnostics & Research,732.79B,36.12,22.37,2.99,4.34,4.01,21.78,29.88,0.0564,0.1209,0.0821,0.0113,77790000.0
Discount Stores,1569.00B,43.59,36.05,3.94,1.32,9.87,45.69,49.95,0.12119999999999999,0.1106,0.0664,-0.0096,32970000.0
Drug Manufacturers - General,3929.60B,25.95,15.69,2.08,5.31,7.16,29.7,24.51,0.2005,0.1246,0.1017,-0.0097,138750000.0
Drug Manufacturers - Specialty & Generic,357.46B,31.75,15.3,1.87,2.57,2.55,11.44,17.89,0.0816,0.1697,0.08560000000000001,-0.0034999999999999996,149550000.0
Education & Training Services,51.29B,21.29,13.03,1.5,1.45,2.29,3.2,23.04,0.122,0.1422,0.0898,0.004699999999999999,22240000.0
