symbol,name,sector,industry,marketCap
GE,GE Aerospace,Industrials,Aerospace & Defense,291833085952.0
RTX,RTX Corporation,Industrials,Aerospace & Defense,212292452352.0
BA,The Boeing Company,Industrials,Aerospace & Defense,177455153152.0
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,106373652480.0
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,78827307008.0
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,87307059200.0
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,84483702784.0
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,70184239104.0
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,51941314560.0
HEI,HEICO Corporation,Industrials,Aerospace & Defense,37796229120.0
CW,Curtiss-Wright Corporation,Industrials,Aerospace & Defense,18015782912.0
TXT,Textron Inc.,Industrials,Aerospace & Defense,14284912640.0
BWXT,"BWX Technologies, Inc.",Industrials,Aerospace & Defense,14810245120.0
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,10625961984.0
SARO,"StandardAero, Inc.",Industrials,Aerospace & Defense,8860110848.0
CAE,CAE Inc.,Industrials,Aerospace & Defense,8640843776.0
ERJ,Embraer S.A.,Industrials,Aerospace & Defense,10330471424.0
KRMN,Karman Holdings Inc.,Industrials,Aerospace & Defense,7067317760.0
LOAR,Loar Holdings Inc.,Industrials,Aerospace & Defense,6615366144.0
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,5772982272.0
HXL,Hexcel Corporation,Industrials,Aerospace & Defense,5024422400.0
SPR,"Spirit AeroSystems Holdings, Inc.",Industrials,Aerospace & Defense,4883456000.0
AIR,AAR Corp.,Industrials,Aerospace & Defense,2721051392.0
VOYG,"Voyager Technologies, Inc.",Industrials,Aerospace & Defense,1809777024.0
EVEX,"Eve Holding, Inc.",Industrials,Aerospace & Defense,1182336512.0
PL,Planet Labs PBC,Industrials,Aerospace & Defense,2151325952.0
VVX,"V2X, Inc.",Industrials,Aerospace & Defense,1811813504.0
CDRE,"Cadre Holdings, Inc.",Industrials,Aerospace & Defense,1252851712.0
DCO,Ducommun Incorporated,Industrials,Aerospace & Defense,1361339904.0
RDW,Redwire Corporation,Industrials,Aerospace & Defense,1283396352.0
NPK,"National Presto Industries, Inc.",Industrials,Aerospace & Defense,749413760.0
RGR,"Sturm, Ruger & Company, Inc.",Industrials,Aerospace & Defense,560336512.0
EVTL,Vertical Aerospace Ltd.,Industrials,Aerospace & Defense,478601600.0
PKE,Park Aerospace Corp.,Industrials,Aerospace & Defense,372097696.0
PEW,GrabAGun Digital Holdings Inc.,Industrials,Aerospace & Defense,167821008.0
SPCE,"Virgin Galactic Holdings, Inc.",Industrials,Aerospace & Defense,179108000.0
BA,The Boeing Company,Industrials,Aerospace & Defense,177455153152.0
HEI,HEICO Corporation,Industrials,Aerospace & Defense,37796229120.0
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,58665549824.0
ESLT,Elbit Systems Ltd.,Industrials,Aerospace & Defense,22255955968.0
RKLB,Rocket Lab Corporation,Industrials,Aerospace & Defense,23445270528.0
WWD,"Woodward, Inc.",Industrials,Aerospace & Defense,14800858112.0
DRS,"Leonardo DRS, Inc.",Industrials,Aerospace & Defense,11086726144.0
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,12051136512.0
KTOS,"Kratos Defense & Security Solutions, Inc.",Industrials,Aerospace & Defense,11113396224.0
MRCY,"Mercury Systems, Inc.",Industrials,Aerospace & Defense,4047305728.0
VSEC,VSE Corporation,Industrials,Aerospace & Defense,3357830912.0
LUNR,"Intuitive Machines, Inc.",Industrials,Aerospace & Defense,1033281472.0
EH,EHang Holdings Limited,Industrials,Aerospace & Defense,1139520896.0
MOBBW,Mobilicom Limited,Industrials,Aerospace & Defense,531196032.0
ATRO,Astronics Corporation,Industrials,Aerospace & Defense,1295437568.0
RCAT,"Red Cat Holdings, Inc.",Industrials,Aerospace & Defense,891892864.0
AIRO,"AIRO Group Holdings, Inc.",Industrials,Aerospace & Defense,645766912.0
BYRN,Byrna Technologies Inc.,Industrials,Aerospace & Defense,463157504.0
TATT,TAT Technologies Ltd.,Industrials,Aerospace & Defense,469742080.0
