symbol,name,sector,industry,marketCap,marketCap_str
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,17986326528.0,17.986B
LEVI,Levi Strauss & Co.,Consumer Cyclical,Apparel Manufacturing,8850780160.0,8.851B
GIL,Gildan Activewear Inc.,Consumer Cyclical,Apparel Manufacturing,8138840064.0,8.139B
VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing,5910034944.0,5.91B
KTB,"Kontoor Brands, Inc.",Consumer Cyclical,Apparel Manufacturing,4293106944.0,4.293B
PVH,PVH Corp.,Consumer Cyclical,Apparel Manufacturing,4053523712.0,4.054B
COLM,Columbia Sportswear Company,Consumer Cyclical,Apparel Manufacturing,3051790080.0,3.052B
HBI,Hanesbrands Inc.,Consumer Cyclical,Apparel Manufacturing,2232314112.0,2.232B
ZGN,Ermenegildo Zegna N.V.,Consumer Cyclical,Apparel Manufacturing,2144510976.0,2.145B
UAA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,2127660032.0,2.128B
UA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,2127659008.0,2.128B
GOOS,Canada Goose Holdings Inc.,Consumer Cyclical,Apparel Manufacturing,1257523072.0,1.258B
GIII,"G-III Apparel Group, Ltd.",Consumer Cyclical,Apparel Manufacturing,1169256576.0,1.169B
FIGS,"FIGS, Inc.",Consumer Cyclical,Apparel Manufacturing,1151074688.0,1.151B
OXM,"Oxford Industries, Inc.",Consumer Cyclical,Apparel Manufacturing,657904384.0,0.658B
SGC,"Superior Group of Companies, Inc.",Consumer Cyclical,Apparel Manufacturing,209823472.0,0.21B
LAKE,"Lakeland Industries, Inc.",Consumer Cyclical,Apparel Manufacturing,144526768.0,0.145B
PLCE,"The Children's Place, Inc.",Consumer Cyclical,Apparel Manufacturing,112391256.0,0.112B
JRSH,"Jerash Holdings (US), Inc.",Consumer Cyclical,Apparel Manufacturing,43287608.0,0.043B
LITB,"LightInTheBox Holding Co., Ltd.",Consumer Cyclical,Apparel Manufacturing,21933360.0,0.022B
JL,J-Long Group Limited,Consumer Cyclical,Apparel Manufacturing,21893094.0,0.022B
VNCE,Vince Holding Corp.,Consumer Cyclical,Apparel Manufacturing,18242172.0,0.018B
NCI,Neo-Concept International Group Holdings Limited,Consumer Cyclical,Apparel Manufacturing,6908800.0,0.007B
XELB,"Xcel Brands, Inc.",Consumer Cyclical,Apparel Manufacturing,6476809.0,0.006B
JXG,JX Luxventure Group Inc.,Consumer Cyclical,Apparel Manufacturing,4404770.0,0.004B
