symbol,name,sector,industry,marketCap,marketCap_str
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,152038735872.0,152.039B
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,48131772416.0,48.132B
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,24233871360.0,24.234B
BURL,"Burlington Stores, Inc.",Consumer Cyclical,Apparel Retail,18323013632.0,18.323B
GAP,"The Gap, Inc.",Consumer Cyclical,Apparel Retail,8166744576.0,8.167B
URBN,"Urban Outfitters, Inc.",Consumer Cyclical,Apparel Retail,6015751680.0,6.016B
BOOT,"Boot Barn Holdings, Inc.",Consumer Cyclical,Apparel Retail,5431868928.0,5.432B
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,4402176512.0,4.402B
BKE,"The Buckle, Inc.",Consumer Cyclical,Apparel Retail,2894951936.0,2.895B
FL,"Foot Locker, Inc.",Consumer Cyclical,Apparel Retail,2357484288.0,2.357B
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,2242087936.0,2.242B
VSCO,Victoria's Secret & Co.,Consumer Cyclical,Apparel Retail,1838204544.0,1.838B
CRI,"Carter's, Inc.",Consumer Cyclical,Apparel Retail,1040503616.0,1.041B
GES,"Guess?, Inc.",Consumer Cyclical,Apparel Retail,875368960.0,0.875B
SFIX,"Stitch Fix, Inc.",Consumer Cyclical,Apparel Retail,690276224.0,0.69B
SCVL,"Shoe Carnival, Inc.",Consumer Cyclical,Apparel Retail,571316096.0,0.571B
CAL,"Caleres, Inc.",Consumer Cyclical,Apparel Retail,506950496.0,0.507B
LE,"Lands' End, Inc.",Consumer Cyclical,Apparel Retail,437587968.0,0.438B
GCO,Genesco Inc.,Consumer Cyclical,Apparel Retail,344706016.0,0.345B
ZUMZ,Zumiez Inc.,Consumer Cyclical,Apparel Retail,305476608.0,0.305B
CTRN,"Citi Trends, Inc.",Consumer Cyclical,Apparel Retail,295517024.0,0.296B
JILL,"J.Jill, Inc.",Consumer Cyclical,Apparel Retail,256143088.0,0.256B
CURV,Torrid Holdings Inc.,Consumer Cyclical,Apparel Retail,215909824.0,0.216B
AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,Apparel Retail,122538336.0,0.123B
DLTH,Duluth Holdings Inc.,Consumer Cyclical,Apparel Retail,85304104.0,0.085B
CATO,The Cato Corporation,Consumer Cyclical,Apparel Retail,81075096.0,0.081B
DXLG,"Destination XL Group, Inc.",Consumer Cyclical,Apparel Retail,69421344.0,0.069B
TLYS,"Tilly's, Inc.",Consumer Cyclical,Apparel Retail,59399244.0,0.059B
BIRD,"Allbirds, Inc.",Consumer Cyclical,Apparel Retail,52381864.0,0.052B
JEM,707 Cayman Holdings Limited,Consumer Cyclical,Apparel Retail,49168000.0,0.049B
RENT,"Rent the Runway, Inc.",Consumer Cyclical,Apparel Retail,22533664.0,0.023B
LVLU,"Lulu's Fashion Lounge Holdings, Inc.",Consumer Cyclical,Apparel Retail,10803295.0,0.011B
