symbol,name,sector,industry,marketCap,marketCap_str
BX,Blackstone Inc.,Financial Services,Asset Management,210510036992.0,210.51B
BLK,"BlackRock, Inc.",Financial Services,Asset Management,174540996608.0,174.541B
KKR,KKR & Co. Inc.,Financial Services,Asset Management,129100374016.0,129.1B
KKR,KKR & Co. Inc.,Financial Services,Asset Management,129100374016.0,129.1B
BN,Brookfield Corporation,Financial Services,Asset Management,98302664704.0,98.303B
BAM,Brookfield Asset Management Ltd.,Financial Services,Asset Management,97044701184.0,97.045B
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,77927235584.0,77.927B
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,77927235584.0,77.927B
ARES,Ares Management Corporation,Financial Services,Asset Management,58545893376.0,58.546B
ARES,Ares Management Corporation,Financial Services,Asset Management,58545893376.0,58.546B
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,48531963904.0,48.532B
RJF,"Raymond James Financial, Inc.",Financial Services,Asset Management,33783625728.0,33.784B
RJF,"Raymond James Financial, Inc.",Financial Services,Asset Management,33783625728.0,33.784B
STT,State Street Corporation,Financial Services,Asset Management,32616415232.0,32.616B
STT,State Street Corporation,Financial Services,Asset Management,32616415232.0,32.616B
OWL,Blue Owl Capital Inc.,Financial Services,Asset Management,28696741888.0,28.697B
NTRS,Northern Trust Corporation,Financial Services,Asset Management,25029974016.0,25.03B
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,23645728768.0,23.646B
CG,The Carlyle Group Inc.,Financial Services,Asset Management,23351672832.0,23.352B
TPG,TPG Inc.,Financial Services,Asset Management,22804514816.0,22.805B
CRBG,"Corebridge Financial, Inc.",Financial Services,Asset Management,18722949120.0,18.723B
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,17935052800.0,17.935B
EQH,"Equitable Holdings, Inc.",Financial Services,Asset Management,15953287168.0,15.953B
EQH,"Equitable Holdings, Inc.",Financial Services,Asset Management,15953287168.0,15.953B
ARCC,Ares Capital Corporation,Financial Services,Asset Management,15800219648.0,15.8B
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,13322544128.0,13.323B
SEIC,SEI Investments Company,Financial Services,Asset Management,10913614848.0,10.914B
IVZ,Invesco Ltd.,Financial Services,Asset Management,9762151424.0,9.762B
HLNE,Hamilton Lane Incorporated,Financial Services,Asset Management,8593481728.0,8.593B
STEP,StepStone Group Inc.,Financial Services,Asset Management,7681538560.0,7.682B
PDI,PIMCO Dynamic Income Fund,Financial Services,Asset Management,7437956608.0,7.438B
OBDC,Blue Owl Capital Corporation,Financial Services,Asset Management,7328428544.0,7.328B
OTF,Blue Owl Technology Finance Corp.,Financial Services,Asset Management,6960415744.0,6.96B
JHG,Janus Henderson Group plc,Financial Services,Asset Management,6912989696.0,6.913B
BXSL,Blackstone Secured Lending Fund,Financial Services,Asset Management,6900082688.0,6.9B
AMG,"Affiliated Managers Group, Inc.",Financial Services,Asset Management,6387608576.0,6.388B
MAIN,Main Street Capital Corporation,Financial Services,Asset Management,5928341504.0,5.928B
FSK,FS KKR Capital Corp.,Financial Services,Asset Management,5108403712.0,5.108B
VCTR,"Victory Capital Holdings, Inc.",Financial Services,Asset Management,4760320512.0,4.76B
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,4375054848.0,4.375B
FHI,"Federated Hermes, Inc.",Financial Services,Asset Management,4118440960.0,4.118B
GBDC,"Golub Capital BDC, Inc.",Financial Services,Asset Management,3974329856.0,3.974B
CNS,"Cohen & Steers, Inc.",Financial Services,Asset Management,3766616320.0,3.767B
DNP,DNP Select Income Fund Inc.,Financial Services,Asset Management,3678618112.0,3.679B
HTGC,"Hercules Capital, Inc.",Financial Services,Asset Management,3546315520.0,3.546B
HASI,"HA Sustainable Infrastructure Capital, Inc.",Financial Services,Asset Management,3511559168.0,3.512B
APAM,Artisan Partners Asset Management Inc.,Financial Services,Asset Management,3297328896.0,3.297B
NEA,Nuveen AMT-Free Quality Municipal Income Fund,Financial Services,Asset Management,3288911872.0,3.289B
BUR,Burford Capital Limited,Financial Services,Asset Management,3063367936.0,3.063B
CSQ,Calamos Strategic Total Return Fund,Financial Services,Asset Management,2986089472.0,2.986B
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,Financial Services,Asset Management,2732008448.0,2.732B
NAD,Nuveen Quality Municipal Income Fund,Financial Services,Asset Management,2644478464.0,2.644B
PTY,PIMCO Corporate & Income Opportunity Fund,Financial Services,Asset Management,2637503232.0,2.638B
GOF,Guggenheim Strategic Opportunities Fund,Financial Services,Asset Management,2624350464.0,2.624B
ADX,"Adams Diversified Equity Fund, Inc.",Financial Services,Asset Management,2605511424.0,2.606B
JPC,Nuveen Preferred & Income Opportunities Fund,Financial Services,Asset Management,2599335936.0,2.599B
UTF,"Cohen & Steers Infrastructure Fund, Inc",Financial Services,Asset Management,2575713280.0,2.576B
NVG,Nuveen AMT-Free Municipal Credit Income Fund,Financial Services,Asset Management,2532370944.0,2.532B
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,Financial Services,Asset Management,2494831616.0,2.495B
GCMG,GCM Grosvenor Inc.,Financial Services,Asset Management,2421964800.0,2.422B
GDV,The Gabelli Dividend & Income Trust,Financial Services,Asset Management,2387148032.0,2.387B
GDV,The Gabelli Dividend & Income Trust,Financial Services,Asset Management,2387148032.0,2.387B
NZF,Nuveen Municipal Credit Income Fund,Financial Services,Asset Management,2318936064.0,2.319B
BBUC,Brookfield Business Corporation,Financial Services,Asset Management,2310841600.0,2.311B
TSLX,"Sixth Street Specialty Lending, Inc.",Financial Services,Asset Management,2304177920.0,2.304B
DBRG,"DigitalBridge Group, Inc.",Financial Services,Asset Management,2219975168.0,2.22B
DBRG,"DigitalBridge Group, Inc.",Financial Services,Asset Management,2219975168.0,2.22B
PAX,Patria Investments Limited,Financial Services,Asset Management,2159183360.0,2.159B
KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",Financial Services,Asset Management,2119148672.0,2.119B
WT,"WisdomTree, Inc.",Financial Services,Asset Management,2002126336.0,2.002B
USA,Liberty All-Star Equity Fund,Financial Services,Asset Management,1945508480.0,1.946B
RVT,"Royce Small-Cap Trust, Inc.",Financial Services,Asset Management,1921225600.0,1.921B
