symbol,name,sector,industry,marketCap,marketCap_str
CVNA,Carvana Co.,Consumer Cyclical,Auto & Truck Dealerships,43494928384.0,43.495B
PAG,"Penske Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,12179248128.0,12.179B
KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,9206917120.0,9.207B
LAD,"Lithia Motors, Inc.",Consumer Cyclical,Auto & Truck Dealerships,8631297024.0,8.631B
AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,8260630528.0,8.261B
GPI,"Group 1 Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,6014113792.0,6.014B
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,4945426944.0,4.945B
VVV,Valvoline Inc.,Consumer Cyclical,Auto & Truck Dealerships,4929519616.0,4.93B
RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,Auto & Truck Dealerships,4479771648.0,4.48B
RUSHB,"Rush Enterprises, Inc.",Consumer Cyclical,Auto & Truck Dealerships,4479771136.0,4.48B
CARG,"CarGurus, Inc.",Consumer Cyclical,Auto & Truck Dealerships,3434402816.0,3.434B
KAR,"OPENLANE, Inc.",Consumer Cyclical,Auto & Truck Dealerships,3074311680.0,3.074B
DRVN,Driven Brands Holdings Inc.,Consumer Cyclical,Auto & Truck Dealerships,3026037504.0,3.026B
SAH,"Sonic Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,2806796800.0,2.807B
ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships,2115951872.0,2.116B
MCW,"Mister Car Wash, Inc.",Consumer Cyclical,Auto & Truck Dealerships,1868740352.0,1.869B
CWH,"Camping World Holdings, Inc.",Consumer Cyclical,Auto & Truck Dealerships,1096977024.0,1.097B
UXIN,Uxin Limited,Consumer Cyclical,Auto & Truck Dealerships,719529792.0,0.72B
KFS,Kingsway Financial Services Inc.,Consumer Cyclical,Auto & Truck Dealerships,414333312.0,0.414B
CRMT,"America's Car-Mart, Inc.",Consumer Cyclical,Auto & Truck Dealerships,370920608.0,0.371B
SDA,SunCar Technology Group Inc.,Consumer Cyclical,Auto & Truck Dealerships,266871792.0,0.267B
VRM,"Vroom, Inc.",Consumer Cyclical,Auto & Truck Dealerships,148187744.0,0.148B
RMBL,"RumbleOn, Inc.",Consumer Cyclical,Auto & Truck Dealerships,121527392.0,0.122B
JZXN,"Jiuzi Holdings, Inc.",Consumer Cyclical,Auto & Truck Dealerships,45146656.0,0.045B
AZI,Autozi Internet Technology (Global) Ltd.,Consumer Cyclical,Auto & Truck Dealerships,32699572.0,0.033B
GORV,"Lazydays Holdings, Inc.",Consumer Cyclical,Auto & Truck Dealerships,10982841.0,0.011B
UCAR,U Power Limited,Consumer Cyclical,Auto & Truck Dealerships,9893245.0,0.01B
KXIN,Kaixin Holdings,Consumer Cyclical,Auto & Truck Dealerships,7053925.0,0.007B
