ticker,name,sector,industry,marketCap
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,70235947008.0
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,19379689472.0
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,17318453248.0
MGA,Magna International Inc.,Consumer Cyclical,Auto Parts,12933656576.0
ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,9529468928.0
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,9252964352.0
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,7300574208.0
MOD,Modine Manufacturing Company,Consumer Cyclical,Auto Parts,7145490944.0
QS,QuantumScape Corporation,Consumer Cyclical,Auto Parts,4488554496.0
LEA,Lear Corporation,Consumer Cyclical,Auto Parts,5852670976.0
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Auto Parts,3658479104.0
ATMU,Atmus Filtration Technologies Inc.,Consumer Cyclical,Auto Parts,3657406976.0
DAN,Dana Incorporated,Consumer Cyclical,Auto Parts,2644064512.0
PHIN,PHINIA Inc.,Consumer Cyclical,Auto Parts,2275135232.0
ADNT,Adient plc,Consumer Cyclical,Auto Parts,2014898304.0
PLOW,"Douglas Dynamics, Inc.",Consumer Cyclical,Auto Parts,775787072.0
AXL,"American Axle & Manufacturing Holdings, Inc.",Consumer Cyclical,Auto Parts,690624512.0
MLR,"Miller Industries, Inc.",Consumer Cyclical,Auto Parts,482271424.0
SES,SES AI Corporation,Consumer Cyclical,Auto Parts,398635904.0
CPS,Cooper-Standard Holdings Inc.,Consumer Cyclical,Auto Parts,649261760.0
HLLY,Holley Inc.,Consumer Cyclical,Auto Parts,490435008.0
SRI,"Stoneridge, Inc.",Consumer Cyclical,Auto Parts,232453952.0
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,87972167680.0
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,8392897024.0
GNTX,Gentex Corporation,Consumer Cyclical,Auto Parts,6147886592.0
DORM,"Dorman Products, Inc.",Consumer Cyclical,Auto Parts,4940128256.0
MBLY,Mobileye Global Inc.,Consumer Cyclical,Auto Parts,11400974336.0
VC,Visteon Corporation,Consumer Cyclical,Auto Parts,3381170176.0
GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,2425670144.0
HSAI,Hesai Group,Consumer Cyclical,Auto Parts,3413700352.0
GTX,Garrett Motion Inc.,Consumer Cyclical,Auto Parts,2618459392.0
FOXF,Fox Factory Holding Corp.,Consumer Cyclical,Auto Parts,1209291392.0
MVST,"Microvast Holdings, Inc.",Consumer Cyclical,Auto Parts,864190912.0
THRM,Gentherm Incorporated,Consumer Cyclical,Auto Parts,1122213120.0
XPEL,"XPEL, Inc.",Consumer Cyclical,Auto Parts,1028317504.0
SLDP,"Solid Power, Inc.",Consumer Cyclical,Auto Parts,784959680.0
ECX,ECARX Holdings Inc.,Consumer Cyclical,Auto Parts,600582592.0
MNRO,"Monro, Inc.",Consumer Cyclical,Auto Parts,497050144.0
INVZ,Innoviz Technologies Ltd.,Consumer Cyclical,Auto Parts,335294240.0
STRT,Strattec Security Corporation,Consumer Cyclical,Auto Parts,274106816.0
MPAA,"Motorcar Parts of America, Inc.",Consumer Cyclical,Auto Parts,288346272.0
LAZR,"Luminar Technologies, Inc.",Consumer Cyclical,Auto Parts,116899648.0
CAAS,"China Automotive Systems, Inc.",Consumer Cyclical,Auto Parts,124303280.0
WPRT,Westport Fuel Systems Inc.,Consumer Cyclical,Auto Parts,48409288.0
CVGI,"Commercial Vehicle Group, Inc.",Consumer Cyclical,Auto Parts,65091840.0
PRTS,"CarParts.com, Inc.",Consumer Cyclical,Auto Parts,45261940.0
SYPR,"Sypris Solutions, Inc.",Consumer Cyclical,Auto Parts,44447900.0
GTEC,Greenland Technologies Holding Corporation,Consumer Cyclical,Auto Parts,24177938.0
REE,REE Automotive Ltd.,Consumer Cyclical,Auto Parts,20073276.0
WKSP,Worksport Ltd.,Consumer Cyclical,Auto Parts,20656744.0
INEO,INNEOVA Holdings Limited,Consumer Cyclical,Auto Parts,9677500.0
CREV,Carbon Revolution Public Limited Company,Consumer Cyclical,Auto Parts,8087422.0
FRSX,Foresight Autonomous Holdings Ltd.,Consumer Cyclical,Auto Parts,7969883.0
