ticker,name,sector,industry,marketCap
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,828829663232.0
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,375828643840.0
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,263258718208.0
HSBC,HSBC Holdings plc,Financial Services,Banks - Diversified,223558762496.0
RY,Royal Bank of Canada,Financial Services,Banks - Diversified,205002670080.0
C,Citigroup Inc.,Financial Services,Banks - Diversified,177775706112.0
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Financial Services,Banks - Diversified,174114865152.0
SAN,"Banco Santander, S.A.",Financial Services,Banks - Diversified,142285750272.0
TD,The Toronto-Dominion Bank,Financial Services,Banks - Diversified,128279003136.0
UBS,UBS Group AG,Financial Services,Banks - Diversified,128415170560.0
SMFG,"Sumitomo Mitsui Financial Group, Inc.",Financial Services,Banks - Diversified,105279782912.0
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial Services,Banks - Diversified,104977776640.0
BMO,Bank of Montreal,Financial Services,Banks - Diversified,86673145856.0
ING,ING Groep N.V.,Financial Services,Banks - Diversified,70253936640.0
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,74473447424.0
BCS,Barclays PLC,Financial Services,Banks - Diversified,68880097280.0
BNS,The Bank of Nova Scotia,Financial Services,Banks - Diversified,77604052992.0
CM,Canadian Imperial Bank of Commerce,Financial Services,Banks - Diversified,71837270016.0
NTB,The Bank of N.T. Butterfield & Son Limited,Financial Services,Banks - Diversified,1882591360.0
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,375828643840.0
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,74473447424.0
C,Citigroup Inc.,Financial Services,Banks - Diversified,177775706112.0
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,828829663232.0
