symbol,name,sector,industry,marketCap,marketCap_str
HDB,HDFC Bank Limited,Financial Services,Banks - Regional,182005940224.0,182.006B
IBN,ICICI Bank Limited,Financial Services,Banks - Regional,114271297536.0,114.271B
MFG,"Mizuho Financial Group, Inc.",Financial Services,Banks - Regional,82228740096.0,82.229B
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,81691328512.0,81.691B
USB,U.S. Bancorp,Financial Services,Banks - Regional,75988754432.0,75.989B
USB,U.S. Bancorp,Financial Services,Banks - Regional,75988754432.0,75.989B
ITUB,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional,72530264064.0,72.53B
NU,Nu Holdings Ltd.,Financial Services,Banks - Regional,71518781440.0,71.519B
DB,Deutsche Bank Aktiengesellschaft,Financial Services,Banks - Regional,67665653760.0,67.666B
LYG,Lloyds Banking Group plc,Financial Services,Banks - Regional,64179650560.0,64.18B
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,60371578880.0,60.372B
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,60371578880.0,60.372B
NWG,NatWest Group plc,Financial Services,Banks - Regional,56253353984.0,56.253B
BSBR,Banco Santander (Brasil) S.A.,Financial Services,Banks - Regional,39596142592.0,39.596B
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,31513204736.0,31.513B
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,31513204736.0,31.513B
BBD,Banco Bradesco S.A.,Financial Services,Banks - Regional,30530433024.0,30.53B
BBDO,Banco Bradesco S.A.,Financial Services,Banks - Regional,30530424832.0,30.53B
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,30294566912.0,30.295B
KB,KB Financial Group Inc.,Financial Services,Banks - Regional,28644198400.0,28.644B
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,25983184896.0,25.983B
FCNCA,"First Citizens BancShares, Inc.",Financial Services,Banks - Regional,25308938240.0,25.309B
RF,Regions Financial Corporation,Financial Services,Banks - Regional,24440313856.0,24.44B
RF,Regions Financial Corporation,Financial Services,Banks - Regional,24440313856.0,24.44B
SHG,"Shinhan Financial Group Co., Ltd.",Financial Services,Banks - Regional,22929928192.0,22.93B
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,22550925312.0,22.551B
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,22550925312.0,22.551B
KEY,KeyCorp,Financial Services,Banks - Regional,21228625920.0,21.229B
KEY,KeyCorp,Financial Services,Banks - Regional,21228625920.0,21.229B
BAP,Credicorp Ltd.,Financial Services,Banks - Regional,20413014016.0,20.413B
FITBI,Fifth Third Bancorp,Financial Services,Banks - Regional,17873221632.0,17.873B
BCH,Banco de Chile,Financial Services,Banks - Regional,14511091712.0,14.511B
EWBC,"East West Bancorp, Inc.",Financial Services,Banks - Regional,14490604544.0,14.491B
WF,Woori Financial Group Inc.,Financial Services,Banks - Regional,13156121600.0,13.156B
CIB,Grupo Cibest S.A.,Financial Services,Banks - Regional,12982449152.0,12.982B
