symbol,name,sector,industry,marketCap
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,296910159872.0
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",Consumer Defensive,Beverages - Non-Alcoholic,17854953472.0
PRMB,Primo Brands Corporation,Consumer Defensive,Beverages - Non-Alcoholic,9379111936.0
ZVIA,Zevia PBC,Consumer Defensive,Beverages - Non-Alcoholic,180684000.0
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,203513741312.0
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,60938874880.0
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,39517016064.0
CCEP,Coca-Cola Europacific Partners PLC,Consumer Defensive,Beverages - Non-Alcoholic,40477151232.0
CELH,"Celsius Holdings, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,16209395712.0
COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,10186503168.0
FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,3936729344.0
COCO,"The Vita Coco Company, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,2030854144.0
STKL,SunOpta Inc.,Consumer Defensive,Beverages - Non-Alcoholic,741026240.0
SHOT,"Safety Shot, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,61713344.0
BRFH,"Barfresh Food Group, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,47981896.0
