symbol,name,sector,industry,marketCap,marketCap_str
NXST,"Nexstar Media Group, Inc.",Communication Services,Broadcasting,6200490496.0,6.2B
TGNA,TEGNA Inc.,Communication Services,Broadcasting,3413645056.0,3.414B
NMAX,,Communication Services,Broadcasting,1274410880.0,1.274B
FUBO,fuboTV Inc.,Communication Services,Broadcasting,1208788480.0,1.209B
SBGI,"Sinclair, Inc.",Communication Services,Broadcasting,1007790592.0,1.008B
GTN,"Gray Media, Inc.",Communication Services,Broadcasting,671038848.0,0.671B
IHRT,"iHeartMedia, Inc.",Communication Services,Broadcasting,296709024.0,0.297B
CURI,CuriosityStream Inc.,Communication Services,Broadcasting,265318016.0,0.265B
SSP,The E.W. Scripps Company,Communication Services,Broadcasting,264115984.0,0.264B
SGA,"Saga Communications, Inc.",Communication Services,Broadcasting,77279040.0,0.077B
MDIA,MediaCo Holding Inc.,Communication Services,Broadcasting,72389480.0,0.072B
UONE,"Urban One, Inc.",Communication Services,Broadcasting,44351268.0,0.044B
UONEK,"Urban One, Inc.",Communication Services,Broadcasting,44351268.0,0.044B
XHLD,"TEN Holdings, Inc.",Communication Services,Broadcasting,11253698.0,0.011B
BBGI,"Beasley Broadcast Group, Inc.",Communication Services,Broadcasting,8316394.0,0.008B
