symbol,name,sector,industry,marketCap,marketCap_str
CRH,CRH plc,Basic Materials,Building Materials,75846492160.0,75.846B
VMC,Vulcan Materials Company,Basic Materials,Building Materials,38469222400.0,38.469B
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,37172621312.0,37.173B
AMRZ,,Basic Materials,Building Materials,28765792256.0,28.766B
CX,"CEMEX, S.A.B. de C.V.",Basic Materials,Building Materials,13188044800.0,13.188B
JHX,James Hardie Industries plc,Basic Materials,Building Materials,11654886400.0,11.655B
EXP,Eagle Materials Inc.,Basic Materials,Building Materials,7492542976.0,7.493B
KNF,Knife River Corporation,Basic Materials,Building Materials,4589800448.0,4.59B
USLM,"United States Lime & Minerals, Inc.",Basic Materials,Building Materials,3606285824.0,3.606B
TGLS,Tecnoglass Inc.,Basic Materials,Building Materials,3410323712.0,3.41B
TTAM,Titan America SA,Basic Materials,Building Materials,2859454720.0,2.859B
LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima,Basic Materials,Building Materials,1106605312.0,1.107B
CPAC,Cementos Pacasmayo S.A.A.,Basic Materials,Building Materials,574765696.0,0.575B
SMID,Smith-Midland Corporation,Basic Materials,Building Materials,229000000.0,0.229B
CAPT,Captivision Inc.,Basic Materials,Building Materials,38224600.0,0.038B
RETO,"ReTo Eco-Solutions, Inc.",Basic Materials,Building Materials,15822231.0,0.016B
CAPS,Capstone Holding Corp.,Basic Materials,Building Materials,6809064.0,0.007B
