symbol,name,sector,industry,marketCap,marketCap_str
ANET,Arista Networks Inc,Technology,Computer Hardware,171625611264.0,171.626B
DELL,Dell Technologies Inc.,Technology,Computer Hardware,82620063744.0,82.62B
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,35602128896.0,35.602B
WDC,Western Digital Corporation,Technology,Computer Hardware,27871711232.0,27.872B
HPQ,HP Inc.,Technology,Computer Hardware,26676396032.0,26.676B
PSTG,"Pure Storage, Inc.",Technology,Computer Hardware,25365432320.0,25.365B
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,24686102528.0,24.686B
LOGI,Logitech International S.A.,Technology,Computer Hardware,15265730560.0,15.266B
IONQ,"IonQ, Inc.",Technology,Computer Hardware,12722928640.0,12.723B
SNDK,Sandisk Corporation,Technology,Computer Hardware,7650441216.0,7.65B
QBTS,D-Wave Quantum Inc.,Technology,Computer Hardware,5342320640.0,5.342B
RGTI,"Rigetti Computing, Inc.",Technology,Computer Hardware,5261197824.0,5.261B
QUBT,Quantum Computing Inc.,Technology,Computer Hardware,2522953728.0,2.523B
CRCT,"Cricut, Inc.",Technology,Computer Hardware,1211056128.0,1.211B
CRSR,"Corsair Gaming, Inc.",Technology,Computer Hardware,946910464.0,0.947B
SSYS,Stratasys Ltd.,Technology,Computer Hardware,906243584.0,0.906B
CAN,Canaan Inc.,Technology,Computer Hardware,364884608.0,0.365B
NNDM,Nano Dimension Ltd.,Technology,Computer Hardware,299850560.0,0.3B
DDD,3D Systems Corporation,Technology,Computer Hardware,294981888.0,0.295B
OSS,"One Stop Systems, Inc.",Technology,Computer Hardware,130452552.0,0.13B
QMCO,Quantum Corporation,Technology,Computer Hardware,98961656.0,0.099B
ALOT,"AstroNova, Inc.",Technology,Computer Hardware,86749064.0,0.087B
YIBO,Planet Image International Limited,Technology,Computer Hardware,66813184.0,0.067B
ZSPC,"zSpace, Inc.",Technology,Computer Hardware,50325184.0,0.05B
TACT,TransAct Technologies Incorporated,Technology,Computer Hardware,43800584.0,0.044B
KTCC,Key Tronic Corporation,Technology,Computer Hardware,31317130.0,0.031B
EBON,Ebang International Holdings Inc.,Technology,Computer Hardware,26441410.0,0.026B
BTCT,BTC Digital Ltd.,Technology,Computer Hardware,24363468.0,0.024B
SCKT,"Socket Mobile, Inc.",Technology,Computer Hardware,8439147.0,0.008B
AGMH,AGM Group Holdings Inc.,Technology,Computer Hardware,3869353.0,0.004B
