symbol,name,sector,industry,marketCap,marketCap_str
HON,Honeywell International Inc.,Industrials,Conglomerates,139359895552.0,139.36B
MMM,3M Company,Industrials,Conglomerates,82839945216.0,82.84B
VMI,"Valmont Industries, Inc.",Industrials,Conglomerates,7246397952.0,7.246B
OTTR,Otter Tail Corporation,Industrials,Conglomerates,3519642880.0,3.52B
BBU,Brookfield Business Partners L.P.,Industrials,Conglomerates,2390374912.0,2.39B
DLX,Deluxe Corporation,Industrials,Conglomerates,882443008.0,0.882B
MATW,Matthews International Corporation,Industrials,Conglomerates,756532416.0,0.757B
TTI,"TETRA Technologies, Inc.",Industrials,Conglomerates,626416000.0,0.626B
CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",Industrials,Conglomerates,617243072.0,0.617B
CODI,Compass Diversified,Industrials,Conglomerates,564270016.0,0.564B
CODI,Compass Diversified,Industrials,Conglomerates,564270016.0,0.564B
FIP,FTAI Infrastructure Inc.,Industrials,Conglomerates,552422400.0,0.552B
TRC,Tejon Ranch Co.,Industrials,Conglomerates,468224544.0,0.468B
AIRTP,"Air T, Inc.",Industrials,Conglomerates,459140672.0,0.459B
BOC,Boston Omaha Corporation,Industrials,Conglomerates,419588352.0,0.42B
FBYD,"Falcon's Beyond Global, Inc.",Industrials,Conglomerates,272730240.0,0.273B
RCMT,"RCM Technologies, Inc.",Industrials,Conglomerates,201047136.0,0.201B
BOOM,DMC Global Inc.,Industrials,Conglomerates,137894704.0,0.138B
NNBR,"NN, Inc.",Industrials,Conglomerates,129267144.0,0.129B
TUSK,"Mammoth Energy Services, Inc.",Industrials,Conglomerates,114219776.0,0.114B
AIRT,"Air T, Inc.",Industrials,Conglomerates,59134036.0,0.059B
MAMK,MaxsMaking Inc.,Industrials,Conglomerates,35910000.0,0.036B
HHS,"Harte Hanks, Inc.",Industrials,Conglomerates,26693244.0,0.027B
