ticker,name,sector,industry,marketCap
EFX,Equifax Inc.,Industrials,Consulting Services,30343421952.0
BAH,Booz Allen Hamilton Holding Corporation,Industrials,Consulting Services,13399631872.0
FCN,"FTI Consulting, Inc.",Industrials,Consulting Services,5456886784.0
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,37460385792.0
HURN,Huron Consulting Group Inc.,Industrials,Consulting Services,2370353152.0
ICFI,"ICF International, Inc.",Industrials,Consulting Services,1810047232.0
DGNX,Diginex Limited,Industrials,Consulting Services,1527249920.0
CRAI,"CRA International, Inc.",Industrials,Consulting Services,1275733248.0
SBC,SBC Medical Group Holdings Incorporated,Industrials,Consulting Services,418514144.0
FORR,"Forrester Research, Inc.",Industrials,Consulting Services,185868416.0
RGP,"Resources Connection, Inc.",Industrials,Consulting Services,170366896.0
LAWR,"Robot Consulting Co., Ltd.",Industrials,Consulting Services,90081600.0
ROMA,Roma Green Finance Limited,Industrials,Consulting Services,132233416.0
AERT,"Aeries Technology, Inc",Industrials,Consulting Services,34204496.0
INTJ,Intelligent Group Limited,Industrials,Consulting Services,16087501.0
GRNQ,Greenpro Capital Corp.,Industrials,Consulting Services,11999925.0
VCIG,VCI Global Limited,Industrials,Consulting Services,24259014.0
