ticker,name,sector,industry,marketCap
SONY,Sony Group Corporation,Technology,Consumer Electronics,164926537728.0
LPL,"LG Display Co., Ltd.",Technology,Consumer Electronics,4409999872.0
ZEPP,Zepp Health Corporation,Technology,Consumer Electronics,646564480.0
AAPL,Apple Inc.,Technology,Consumer Electronics,3445050310656.0
SONO,"Sonos, Inc.",Technology,Consumer Electronics,1682649600.0
TBCH,Turtle Beach Corporation,Technology,Consumer Electronics,313340416.0
GPRO,"GoPro, Inc.",Technology,Consumer Electronics,246765488.0
VUZI,Vuzix Corporation,Technology,Consumer Electronics,163964384.0
UEIC,Universal Electronics Inc.,Technology,Consumer Electronics,64751136.0
KOSS,Koss Corporation,Technology,Consumer Electronics,58129960.0
FOXX,Foxx Development Holdings Inc.,Technology,Consumer Electronics,36615240.0
FEBO,Fenbo Holdings Limited,Technology,Consumer Electronics,8075625.0
RIME,"Algorhythm Holdings, Inc.",Technology,Consumer Electronics,5582345.0
BOXL,Boxlight Corporation,Technology,Consumer Electronics,4755349.0
WTO,UTime Limited,Technology,Consumer Electronics,74524600.0
WLDS,Wearable Devices Ltd.,Technology,Consumer Electronics,2436517.0
