symbol,name,sector,industry,marketCap
V,Visa Inc.,Financial Services,Credit Services,682783866880.0
MA,Mastercard Incorporated,Financial Services,Credit Services,538149289984.0
AXP,American Express Company,Financial Services,Credit Services,230531776512.0
COF,Capital One Financial Corporation,Financial Services,Credit Services,145311055872.0
SYF,Synchrony Financial,Financial Services,Credit Services,28402905088.0
ALLY,Ally Financial Inc.,Financial Services,Credit Services,12635517952.0
OMF,"OneMain Holdings, Inc.",Financial Services,Credit Services,7353298432.0
NNI,"Nelnet, Inc.",Financial Services,Credit Services,4652312576.0
BFH,"Bread Financial Holdings, Inc.",Financial Services,Credit Services,3087260672.0
WU,The Western Union Company,Financial Services,Credit Services,2800123904.0
ENVA,"Enova International, Inc.",Financial Services,Credit Services,3034028544.0
LU,Lufax Holding Ltd,Financial Services,Credit Services,2548065792.0
FINV,FinVolution Group,Financial Services,Credit Services,2090665472.0
AGM,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,2195623168.0
OPFI,OppFi Inc.,Financial Services,Credit Services,891395264.0
XYF,X Financial,Financial Services,Credit Services,621429184.0
GDOT,Green Dot Corporation,Financial Services,Credit Services,771066368.0
QD,Qudian Inc.,Financial Services,Credit Services,752974528.0
YRD,Yiren Digital Ltd.,Financial Services,Credit Services,502885824.0
RM,Regional Management Corp.,Financial Services,Credit Services,429591232.0
FOA,Finance of America Companies Inc.,Financial Services,Credit Services,295928096.0
AGM,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,2195623168.0
COF,Capital One Financial Corporation,Financial Services,Credit Services,145311055872.0
SYF,Synchrony Financial,Financial Services,Credit Services,28402905088.0
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,67057983488.0
SOFI,"SoFi Technologies, Inc.",Financial Services,Credit Services,30582874112.0
SLMBP,SLM Corporation,Financial Services,Credit Services,4971568640.0
UPST,"Upstart Holdings, Inc.",Financial Services,Credit Services,7057183232.0
SLM,SLM Corporation,Financial Services,Credit Services,6521285632.0
CACC,Credit Acceptance Corporation,Financial Services,Credit Services,5784380928.0
FCFS,"FirstCash Holdings, Inc.",Financial Services,Credit Services,6533574656.0
QFIN,"Qfin Holdings, Inc.",Financial Services,Credit Services,4182097920.0
SEZL,Sezzle Inc.,Financial Services,Credit Services,3218622976.0
NAVI,Navient Corporation,Financial Services,Credit Services,1363198976.0
LX,LexinFintech Holdings Ltd.,Financial Services,Credit Services,1063428480.0
JCAP,"Jefferson Capital, Inc.",Financial Services,Credit Services,1216726656.0
ECPG,"Encore Capital Group, Inc.",Financial Services,Credit Services,962813696.0
WRLD,World Acceptance Corporation,Financial Services,Credit Services,933571712.0
ATLC,Atlanticus Holdings Corporation,Financial Services,Credit Services,1008864128.0
EZPW,"EZCORP, Inc.",Financial Services,Credit Services,1015137984.0
PRAA,"PRA Group, Inc.",Financial Services,Credit Services,667769536.0
LPRO,Open Lending Corporation,Financial Services,Credit Services,249342912.0
ANTA,,Financial Services,Credit Services,312306208.0
MFIN,Medallion Financial Corp.,Financial Services,Credit Services,245484112.0
PMTS,CPI Card Group Inc.,Financial Services,Credit Services,176636688.0
OPRT,Oportun Financial Corporation,Financial Services,Credit Services,290902144.0
CPSS,"Consumer Portfolio Services, Inc.",Financial Services,Credit Services,177571360.0
TROO,"TROOPS, Inc.",Financial Services,Credit Services,124603200.0
MCVT,SUI Group Holdings Limited,Financial Services,Credit Services,501695776.0
OMCC,Old Market Capital Corporation,Financial Services,Credit Services,37279984.0
PT,Pintec Technology Holdings Limited,Financial Services,Credit Services,15149005.0
LMFA,"LM Funding America, Inc.",Financial Services,Credit Services,18998000.0
SNTG,Sentage Holdings Inc.,Financial Services,Credit Services,4797114.0
