ticker,name,sector,industry,marketCap
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,656726491136.0
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,426685595648.0
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,371684212736.0
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,254044028928.0
NVS,Novartis AG,Healthcare,Drug Manufacturers - General,245447524352.0
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,210113265664.0
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,140774227968.0
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,96032063488.0
GSK,GSK plc,Healthcare,Drug Manufacturers - General,79898943488.0
OGN,Organon & Co.,Healthcare,Drug Manufacturers - General,2448879616.0
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,247728357376.0
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,154892124160.0
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,140174311424.0
SNY,Sanofi,Healthcare,Drug Manufacturers - General,120679743488.0
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,19385436160.0
GRFS,"Grifols, S.A.",Healthcare,Drug Manufacturers - General,8613741568.0
AMRN,Amarin Corporation plc,Healthcare,Drug Manufacturers - General,311069312.0
SCLX,Scilex Holding Company,Healthcare,Drug Manufacturers - General,123533232.0
MDCX,Medicus Pharma Ltd.,Healthcare,Drug Manufacturers - General,36318548.0
MIRA,"MIRA Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - General,26124942.0
