symbol,name,sector,industry,marketCap
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,69313822720.0
TAK,Takeda Pharmaceutical Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,47976091648.0
HLN,Haleon plc,Healthcare,Drug Manufacturers - Specialty & Generic,43914190848.0
TEVA,Teva Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,21084614656.0
RDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,12086414336.0
ELAN,Elanco Animal Health Incorporated,Healthcare,Drug Manufacturers - Specialty & Generic,9116537856.0
PRGO,Perrigo Company plc,Healthcare,Drug Manufacturers - Specialty & Generic,3266220544.0
PBH,Prestige Consumer Healthcare Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,3348534272.0
BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,2743842048.0
EBS,Emergent BioSolutions Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,442814144.0
UTHR,United Therapeutics Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,13783168000.0
NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,13845738496.0
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,12299928576.0
RGC,Regencell Bioscience Holdings Limited,Healthcare,Drug Manufacturers - Specialty & Generic,6947570176.0
LNTH,"Lantheus Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,3732881664.0
ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic,4782309376.0
HCM,HUTCHMED (China) Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2579618560.0
ALVO,Alvotech,Healthcare,Drug Manufacturers - Specialty & Generic,2514619904.0
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,3002595328.0
KNSA,"Kiniksa Pharmaceuticals International, plc",Healthcare,Drug Manufacturers - Specialty & Generic,2481866752.0
INDV,Indivior PLC,Healthcare,Drug Manufacturers - Specialty & Generic,3029415680.0
SUPN,"Supernus Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,2530018304.0
BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,1744435328.0
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,2027902848.0
DVAX,Dynavax Technologies Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,1186742016.0
HROW,"Harrow, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,1443081856.0
PAHC,Phibro Animal Health Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,1502580480.0
AVDL,Avadel Pharmaceuticals plc,Healthcare,Drug Manufacturers - Specialty & Generic,1433160576.0
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,1423680000.0
COLL,"Collegium Pharmaceutical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,1222281472.0
PCRX,"Pacira BioSciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,1198355072.0
AKBA,"Akebia Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,832555328.0
BGM,BGM Group Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,1506678784.0
CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,995643968.0
ORGO,Organogenesis Holdings Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,653318720.0
EOLS,"Evolus, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,493549600.0
TLRY,"Tilray Brands, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,1515971456.0
SIGA,"SIGA Technologies, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,600774336.0
KMDA,Kamada Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,397934592.0
AQST,"Aquestive Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,456071968.0
ETON,"Eton Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,464210912.0
EVO,Evotec SE,Healthcare,Drug Manufacturers - Specialty & Generic,1244694528.0
ESPR,"Esperion Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,447603072.0
LFCR,"Lifecore Biomedical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,284674112.0
ZYBT,Zhengye Biotechnology Holding Limited,Healthcare,Drug Manufacturers - Specialty & Generic,443583488.0
TKNO,"Alpha Teknova, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,231185680.0
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,304889632.0
OGI,Organigram Global Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,231858064.0
DERM,Journey Medical Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,175766816.0
BIOA,"BioAge Labs, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,176740496.0
ANIK,"Anika Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,135241776.0
CTOR,"Citius Oncology, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,170064208.0
IRWD,"Ironwood Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,214412896.0
CRDL,Cardiol Therapeutics Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,90494928.0
CGC,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,608074176.0
INCR,InterCure Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,86129912.0
ASRT,"Assertio Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,80369688.0
DRRX,DURECT Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,59624064.0
CPIX,Cumberland Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,52210052.0
RMTI,"Rockwell Medical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,58875984.0
IXHL,Incannex Healthcare Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,61745268.0
SCYX,"SCYNEXIS, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,34856360.0
GELS,Gelteq Limited,Healthcare,Drug Manufacturers - Specialty & Generic,12555056.0
AYTU,"Aytu BioPharma, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,21095738.0
FLGC,Flora Growth Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,11834068.0
TXMD,"TherapeuticsMD, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,12847584.0
BFRI,Biofrontera Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,9453269.0
TLPH,"Talphera, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,11102781.0
IMCC,IM Cannabis Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,12172599.0
EVOK,"Evoke Pharma, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,8493607.0
SNOA,"Sonoma Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,7312506.0
SBFM,"Sunshine Biopharma, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,6560554.0
RDHL,RedHill Biopharma Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,3098709.0
AKAN,Akanda Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,2665537.0
PRFX,PainReform Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,2919053.0
UPC,Universe Pharmaceuticals INC,Healthcare,Drug Manufacturers - Specialty & Generic,1997765.0
INM,InMed Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,4444862.0
SHPH,"Shuttle Pharmaceuticals Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,3533541.0
SXTC,"China SXT Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,169400880.0
