symbol,name,sector,industry,marketCap
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,48707137536.0
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,22902808576.0
NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,14547999744.0
AYI,Acuity Inc.,Industrials,Electrical Equipment & Parts,10004608000.0
BE,Bloom Energy Corporation,Industrials,Electrical Equipment & Parts,12387853312.0
ENS,EnerSys,Industrials,Electrical Equipment & Parts,3845977344.0
HAYW,"Hayward Holdings, Inc.",Industrials,Electrical Equipment & Parts,3484648704.0
ATKR,Atkore Inc.,Industrials,Electrical Equipment & Parts,1958425088.0
ENR,"Energizer Holdings, Inc.",Industrials,Electrical Equipment & Parts,1881479680.0
AMPX,"Amprius Technologies, Inc.",Industrials,Electrical Equipment & Parts,886788864.0
EAF,GrafTech International Ltd.,Industrials,Electrical Equipment & Parts,255053184.0
TE,T1 Energy Inc.,Industrials,Electrical Equipment & Parts,257297696.0
GWH,"ESS Tech, Inc.",Industrials,Electrical Equipment & Parts,20756316.0
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,5645929472.0
ENVX,Enovix Corporation,Industrials,Electrical Equipment & Parts,1891292032.0
POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,3212152064.0
PLUG,Plug Power Inc.,Industrials,Electrical Equipment & Parts,1813099008.0
EOSE,"Eos Energy Enterprises, Inc.",Industrials,Electrical Equipment & Parts,1792992640.0
PLPC,Preformed Line Products Company,Industrials,Electrical Equipment & Parts,940991104.0
ADSE,ADS-TEC Energy PLC,Industrials,Electrical Equipment & Parts,711827072.0
KE,"Kimball Electronics, Inc.",Industrials,Electrical Equipment & Parts,699188096.0
LTBR,Lightbridge Corporation,Industrials,Electrical Equipment & Parts,392086400.0
ELVA,Electrovaya Inc.,Industrials,Electrical Equipment & Parts,244031008.0
NVX,NOVONIX Limited,Industrials,Electrical Equipment & Parts,241850848.0
NEOV,NeoVolta Inc.,Industrials,Electrical Equipment & Parts,122508392.0
ULBI,Ultralife Corporation,Industrials,Electrical Equipment & Parts,115589808.0
FCEL,"FuelCell Energy, Inc.",Industrials,Electrical Equipment & Parts,95721776.0
SKYX,SKYX Platforms Corp.,Industrials,Electrical Equipment & Parts,129278520.0
CBAT,"CBAK Energy Technology, Inc.",Industrials,Electrical Equipment & Parts,82440592.0
RFIL,"RF Industries, Ltd.",Industrials,Electrical Equipment & Parts,74884424.0
IPWR,Ideal Power Inc.,Industrials,Electrical Equipment & Parts,44529572.0
APWC,Asia Pacific Wire & Cable Corporation Limited,Industrials,Electrical Equipment & Parts,37624564.0
PPSI,"Pioneer Power Solutions, Inc.",Industrials,Electrical Equipment & Parts,42051188.0
FLUX,"Flux Power Holdings, Inc.",Industrials,Electrical Equipment & Parts,25590264.0
SDST,Stardust Power Inc.,Industrials,Electrical Equipment & Parts,33971264.0
EPOW,"Sunrise New Energy Co., Ltd.",Industrials,Electrical Equipment & Parts,24048116.0
OESX,"Orion Energy Systems, Inc.",Industrials,Electrical Equipment & Parts,24395470.0
CCTG,CCSC Technology International Holdings Limited,Industrials,Electrical Equipment & Parts,12738162.0
STI,"Solidion Technology, Inc.",Industrials,Electrical Equipment & Parts,9016475.0
LNKS,Linkers Industries Limited,Industrials,Electrical Equipment & Parts,7250869.0
RAYA,Erayak Power Solution Group Inc.,Industrials,Electrical Equipment & Parts,9155524.0
POLA,"Polar Power, Inc.",Industrials,Electrical Equipment & Parts,5173751.0
ADN,"Advent Technologies Holdings, Inc.",Industrials,Electrical Equipment & Parts,11989601.0
XPON,Expion360 Inc.,Industrials,Electrical Equipment & Parts,5212080.0
DFLI,Dragonfly Energy Holdings Corp.,Industrials,Electrical Equipment & Parts,17653236.0
