symbol,name,sector,industry,marketCap,marketCap_str
NTES,"NetEase, Inc.",Communication Services,Electronic Gaming & Multimedia,87555465216.0,87.555B
RBLX,Roblox Corporation,Communication Services,Electronic Gaming & Multimedia,86371639296.0,86.372B
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,43031318528.0,43.031B
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,43023093760.0,43.023B
PLTK,Playtika Holding Corp.,Communication Services,Electronic Gaming & Multimedia,1394206848.0,1.394B
SOHU,Sohu.com Limited,Communication Services,Electronic Gaming & Multimedia,483301312.0,0.483B
DDI,"DoubleDown Interactive Co., Ltd.",Communication Services,Electronic Gaming & Multimedia,478190304.0,0.478B
GRVY,"Gravity Co., Ltd.",Communication Services,Electronic Gaming & Multimedia,448551520.0,0.449B
GCL,GCL Global Holdings Ltd,Communication Services,Electronic Gaming & Multimedia,407446592.0,0.407B
GDEV,GDEV Inc.,Communication Services,Electronic Gaming & Multimedia,262522048.0,0.263B
GMGI,"Golden Matrix Group, Inc.",Communication Services,Electronic Gaming & Multimedia,171564096.0,0.172B
SKLZ,Skillz Inc.,Communication Services,Electronic Gaming & Multimedia,135211472.0,0.135B
MYPS,"PLAYSTUDIOS, Inc.",Communication Services,Electronic Gaming & Multimedia,121159440.0,0.121B
GMHS,Gamehaus Holdings Inc.,Communication Services,Electronic Gaming & Multimedia,101251520.0,0.101B
GAME,"GameSquare Holdings, Inc.",Communication Services,Electronic Gaming & Multimedia,74743944.0,0.075B
GDC,GD Culture Group Limited,Communication Services,Electronic Gaming & Multimedia,68441248.0,0.068B
SNAL,"Snail, Inc.",Communication Services,Electronic Gaming & Multimedia,34793592.0,0.035B
GIGM,GigaMedia Limited,Communication Services,Electronic Gaming & Multimedia,16799344.0,0.017B
TBH,"Brag House Holdings, Inc.",Communication Services,Electronic Gaming & Multimedia,16017448.0,0.016B
MSGM,Motorsport Games Inc.,Communication Services,Electronic Gaming & Multimedia,14422290.0,0.014B
GXAI,Gaxos.ai Inc.,Communication Services,Electronic Gaming & Multimedia,12252334.0,0.012B
BHAT,Blue Hat Interactive Entertainment Technology,Communication Services,Electronic Gaming & Multimedia,12242242.0,0.012B
TRUG,"TruGolf Holdings, Inc.",Communication Services,Electronic Gaming & Multimedia,5494392.0,0.005B
GCLWW,GCL Global Holdings Ltd,Communication Services,Electronic Gaming & Multimedia,1412400.0,0.001B
