symbol,name,sector,industry,marketCap,marketCap_str
SNX,TD SYNNEX Corporation,Technology,Electronics & Computer Distribution,12210905088.0,12.211B
ARW,"Arrow Electronics, Inc.",Technology,Electronics & Computer Distribution,6506209792.0,6.506B
AVT,"Avnet, Inc.",Technology,Electronics & Computer Distribution,4554559488.0,4.555B
NSIT,"Insight Enterprises, Inc.",Technology,Electronics & Computer Distribution,4096239360.0,4.096B
CNXN,"PC Connection, Inc.",Technology,Electronics & Computer Distribution,1630227712.0,1.63B
SCSC,"ScanSource, Inc.",Technology,Electronics & Computer Distribution,955258432.0,0.955B
CLMB,"Climb Global Solutions, Inc.",Technology,Electronics & Computer Distribution,570502464.0,0.571B
IZM,ICZOOM Group Inc.,Technology,Electronics & Computer Distribution,28978040.0,0.029B
TAIT,Taitron Components Incorporated,Technology,Electronics & Computer Distribution,12764901.0,0.013B
CIIT,"Tianci International, Inc.",Technology,Electronics & Computer Distribution,10702688.0,0.011B
