symbol,name,sector,industry,marketCap
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,56318308352.0
EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,27753803776.0
FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,24816302080.0
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,17479749632.0
ACM,AECOM,Industrials,Engineering & Construction,16541180928.0
MTZ,"MasTec, Inc.",Industrials,Engineering & Construction,14336794624.0
APG,APi Group Corporation,Industrials,Engineering & Construction,14838884352.0
STN,Stantec Inc.,Industrials,Engineering & Construction,12395660288.0
BLD,TopBuild Corp.,Industrials,Engineering & Construction,11839681536.0
FLR,Fluor Corporation,Industrials,Engineering & Construction,6631457280.0
DY,"Dycom Industries, Inc.",Industrials,Engineering & Construction,7310041600.0
KBR,"KBR, Inc.",Industrials,Engineering & Construction,6501367296.0
PRIM,Primoris Services Corporation,Industrials,Engineering & Construction,6403217408.0
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,4852992512.0
GVA,Granite Construction Incorporated,Industrials,Engineering & Construction,4717963264.0
ECG,"Everus Construction Group, Inc.",Industrials,Engineering & Construction,4000957952.0
AGX,"Argan, Inc.",Industrials,Engineering & Construction,3113103360.0
TPC,Tutor Perini Corporation,Industrials,Engineering & Construction,3108684032.0
CDLR,Cadeler A/S,Industrials,Engineering & Construction,1833882496.0
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,1340255104.0
ORN,"Orion Group Holdings, Inc.",Industrials,Engineering & Construction,294040480.0
VATE,INNOVATE Corp.,Industrials,Engineering & Construction,72148296.0
FER,Ferrovial SE,Industrials,Engineering & Construction,39361634304.0
TTEK,"Tetra Tech, Inc.",Industrials,Engineering & Construction,9570192384.0
STRL,"Sterling Infrastructure, Inc.",Industrials,Engineering & Construction,8472826880.0
IESC,"IES Holdings, Inc.",Industrials,Engineering & Construction,6935375360.0
ROAD,"Construction Partners, Inc.",Industrials,Engineering & Construction,6725202944.0
EXPO,"Exponent, Inc.",Industrials,Engineering & Construction,3604768256.0
MYRG,MYR Group Inc.,Industrials,Engineering & Construction,2906954752.0
NVEE,"NV5 Global, Inc.",Industrials,Engineering & Construction,1512368256.0
WLDN,"Willdan Group, Inc.",Industrials,Engineering & Construction,1611107840.0
GLDD,Great Lakes Dredge & Dock Corporation,Industrials,Engineering & Construction,792825152.0
BWMN,Bowman Consulting Group Ltd.,Industrials,Engineering & Construction,737122432.0
MTRX,Matrix Service Company,Industrials,Engineering & Construction,417746880.0
RITR,Reitar Logtech Holdings Limited,Industrials,Engineering & Construction,287898208.0
BBCP,"Concrete Pumping Holdings, Inc.",Industrials,Engineering & Construction,362115584.0
MIMI,Mint Incorporation Limited,Industrials,Engineering & Construction,170085008.0
ESOA,Energy Services of America Corporation,Industrials,Engineering & Construction,169668592.0
PHOE,Phoenix Asia Holdings Limited,Industrials,Engineering & Construction,168804000.0
BLNK,Blink Charging Co.,Industrials,Engineering & Construction,135004976.0
ONEG,OneConstruction Group Limited,Industrials,Engineering & Construction,191200000.0
SHIM,Shimmick Corporation,Industrials,Engineering & Construction,105820800.0
MSW,Ming Shing Group Holdings Limited,Industrials,Engineering & Construction,27117748.0
FGL,Founder Group Limited,Industrials,Engineering & Construction,23298360.0
OFAL,,Industrials,Engineering & Construction,20049984.0
SKBL,Skyline Builders Group Holding Limited,Industrials,Engineering & Construction,29641498.0
ZDAI,Primega Group Holdings Limited,Industrials,Engineering & Construction,12817200.0
SKK,SKK Holdings Limited,Industrials,Engineering & Construction,7359375.0
FBGL,FBS Global Limited,Industrials,Engineering & Construction,8397000.0
WLGS,"WANG & LEE GROUP, Inc.",Industrials,Engineering & Construction,1397127.0
MSGY,Masonglory Limited,Industrials,Engineering & Construction,190188256.0
