symbol,name,sector,industry,marketCap,marketCap_str
NFLX,"Netflix, Inc.",Communication Services,Entertainment,513416855552.0,513.417B
DIS,The Walt Disney Company,Communication Services,Entertainment,212838940672.0,212.839B
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,38617358336.0,38.617B
WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment,28817965056.0,28.818B
FOX,Fox Corporation,Communication Services,Entertainment,25385279488.0,25.385B
FOXA,Fox Corporation,Communication Services,Entertainment,25385277440.0,25.385B
FWONA,Formula One Group,Communication Services,Entertainment,24733165568.0,24.733B
FWONK,Formula One Group,Communication Services,Entertainment,24733143040.0,24.733B
NWS,News Corporation,Communication Services,Entertainment,17419612160.0,17.42B
NWSA,News Corporation,Communication Services,Entertainment,17419601920.0,17.42B
WMG,Warner Music Group Corp.,Communication Services,Entertainment,17384253440.0,17.384B
TKO,"TKO Group Holdings, Inc.",Communication Services,Entertainment,15569869824.0,15.57B
ROKU,"Roku, Inc.",Communication Services,Entertainment,14226281472.0,14.226B
LLYVK,Liberty Live Group,Communication Services,Entertainment,8883665920.0,8.884B
LLYVA,Liberty Live Group,Communication Services,Entertainment,8883663872.0,8.884B
SIRI,Sirius XM Holdings Inc.,Communication Services,Entertainment,7960533504.0,7.961B
PARAA,Paramount Skydance Corporation,Communication Services,Entertainment,7682364928.0,7.682B
PARA,Paramount Skydance Corporation,Communication Services,Entertainment,6994082816.0,6.994B
MSGS,Madison Square Garden Sports Corp.,Communication Services,Entertainment,4751642112.0,4.752B
MANU,Manchester United plc,Communication Services,Entertainment,3046370048.0,3.046B
CNK,"Cinemark Holdings, Inc.",Communication Services,Entertainment,2967541760.0,2.968B
BATRK,"Atlanta Braves Holdings, Inc.",Communication Services,Entertainment,2855402240.0,2.855B
BATRA,"Atlanta Braves Holdings, Inc.",Communication Services,Entertainment,2855401984.0,2.855B
IQ,"iQIYI, Inc.",Communication Services,Entertainment,2551841280.0,2.552B
SPHR,Sphere Entertainment Co.,Communication Services,Entertainment,1631132800.0,1.631B
IMAX,IMAX Corporation,Communication Services,Entertainment,1536028160.0,1.536B
AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,1441372672.0,1.441B
PLAY,"Dave & Buster's Entertainment, Inc.",Communication Services,Entertainment,887565952.0,0.888B
HUYA,HUYA Inc.,Communication Services,Entertainment,796030912.0,0.796B
RSVR,"Reservoir Media, Inc.",Communication Services,Entertainment,516604928.0,0.517B
MCS,The Marcus Corporation,Communication Services,Entertainment,483443360.0,0.483B
AMCX,AMC Networks Inc.,Communication Services,Entertainment,306289632.0,0.306B
AENT,Alliance Entertainment Holding Corporation,Communication Services,Entertainment,270732288.0,0.271B
STRZ,Starz Entertainment Corp.,Communication Services,Entertainment,213537392.0,0.214B
GAIA,"Gaia, Inc.",Communication Services,Entertainment,142620816.0,0.143B
NIPG,NIP Group Inc.,Communication Services,Entertainment,116559096.0,0.117B
KWM,K Wave Media Ltd.,Communication Services,Entertainment,109332712.0,0.109B
CPOP,"Pop Culture Group Co., Ltd",Communication Services,Entertainment,100020696.0,0.1B
CNVS,Cineverse Corp.,Communication Services,Entertainment,93278216.0,0.093B
LVO,"LiveOne, Inc.",Communication Services,Entertainment,63443052.0,0.063B
RDI,"Reading International, Inc.",Communication Services,Entertainment,53677160.0,0.054B
RDIB,"Reading International, Inc.",Communication Services,Entertainment,53677136.0,0.054B
KUKE,Kuke Music Holding Limited,Communication Services,Entertainment,46257204.0,0.046B
AGAE,Allied Gaming & Entertainment Inc.,Communication Services,Entertainment,44482112.0,0.044B
ANGH,Anghami Inc.,Communication Services,Entertainment,21002550.0,0.021B
BREA,Brera Holdings PLC,Communication Services,Entertainment,14826319.0,0.015B
FTRK,,Communication Services,Entertainment,11342500.0,0.011B
BLMZ,Harrison Global Holdings Inc.,Communication Services,Entertainment,2704856.0,0.003B
ADD,Zeta Network Group,Communication Services,Entertainment,63134.0,0.0B
