symbol,name,sector,industry,marketCap,marketCap_str
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,30096265216.0,30.096B
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,20200562688.0,20.201B
BG,Bunge Global SA,Consumer Defensive,Farm Products,16849221632.0,16.849B
CALM,"Cal-Maine Foods, Inc.",Consumer Defensive,Farm Products,5608250880.0,5.608B
VITL,"Vital Farms, Inc.",Consumer Defensive,Farm Products,2283007744.0,2.283B
FDP,Fresh Del Monte Produce Inc.,Consumer Defensive,Farm Products,1740529280.0,1.741B
DOLE,Dole plc,Consumer Defensive,Farm Products,1400799360.0,1.401B
AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,846583744.0,0.847B
LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Consumer Defensive,Farm Products,392485088.0,0.392B
VFF,"Village Farms International, Inc.",Consumer Defensive,Farm Products,368345888.0,0.368B
LMNR,Limoneira Company,Consumer Defensive,Farm Products,284767456.0,0.285B
SISI,"Shineco, Inc.",Consumer Defensive,Farm Products,261632880.0,0.262B
ALCO,"Alico, Inc.",Consumer Defensive,Farm Products,258718976.0,0.259B
AFRI,Forafric Global PLC,Consumer Defensive,Farm Products,233774896.0,0.234B
LOCL,Local Bounti Corporation,Consumer Defensive,Farm Products,53316432.0,0.053B
PFAI,Pinnacle Food Group Limited,Consumer Defensive,Farm Products,21271770.0,0.021B
DTCK,Davis Commodities Limited,Consumer Defensive,Farm Products,18096144.0,0.018B
SDOT,Sadot Group Inc.,Consumer Defensive,Farm Products,9099854.0,0.009B
EDBL,Edible Garden AG Incorporated,Consumer Defensive,Farm Products,5367246.0,0.005B
AQB,"AquaBounty Technologies, Inc.",Consumer Defensive,Farm Products,4575686.0,0.005B
AGRI,AgriFORCE Growing Systems Ltd.,Consumer Defensive,Farm Products,3169232.0,0.003B
