symbol,name,sector,industry,marketCap,marketCap_str
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,38481719296.0,38.482B
USFD,US Foods Holding Corp.,Consumer Defensive,Food Distribution,17473347584.0,17.473B
PFGC,Performance Food Group Company,Consumer Defensive,Food Distribution,15871027200.0,15.871B
CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,Food Distribution,2573756928.0,2.574B
UNFI,"United Natural Foods, Inc.",Consumer Defensive,Food Distribution,1712792320.0,1.713B
ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,1399209472.0,1.399B
SPTN,SpartanNash Company,Consumer Defensive,Food Distribution,907514944.0,0.908B
AVO,"Mission Produce, Inc.",Consumer Defensive,Food Distribution,883433728.0,0.883B
CVGW,"Calavo Growers, Inc.",Consumer Defensive,Food Distribution,487847424.0,0.488B
WILC,G. Willi-Food International Ltd.,Consumer Defensive,Food Distribution,284434464.0,0.284B
HFFG,HF Foods Group Inc.,Consumer Defensive,Food Distribution,180439680.0,0.18B
MTEX,"Mannatech, Incorporated",Consumer Defensive,Food Distribution,18210910.0,0.018B
TWG,Top Wealth Group Holding Limited,Consumer Defensive,Food Distribution,3942555.0,0.004B
