symbol,name,sector,industry,marketCap,marketCap_str
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,114267758592.0,114.268B
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,17746274304.0,17.746B
ONON,On Holding AG,Consumer Cyclical,Footwear & Accessories,14720378880.0,14.72B
BIRK,Birkenstock Holding plc,Consumer Cyclical,Footwear & Accessories,9587019776.0,9.587B
SKX,"Skechers U.S.A., Inc.",Consumer Cyclical,Footwear & Accessories,9479410688.0,9.479B
CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,4762637312.0,4.763B
WWW,"Wolverine World Wide, Inc.",Consumer Cyclical,Footwear & Accessories,2595265536.0,2.595B
SHOO,"Steven Madden, Ltd.",Consumer Cyclical,Footwear & Accessories,2109825792.0,2.11B
WEYS,"Weyco Group, Inc.",Consumer Cyclical,Footwear & Accessories,289043200.0,0.289B
RCKY,"Rocky Brands, Inc.",Consumer Cyclical,Footwear & Accessories,227261584.0,0.227B
DBI,Designer Brands Inc.,Consumer Cyclical,Footwear & Accessories,181138528.0,0.181B
FMFC,Kandal M Venture Limited,Consumer Cyclical,Footwear & Accessories,180438000.0,0.18B
FOSL,"Fossil Group, Inc.",Consumer Cyclical,Footwear & Accessories,164583328.0,0.165B
VRA,"Vera Bradley, Inc.",Consumer Cyclical,Footwear & Accessories,57822136.0,0.058B
FORD,"Forward Industries, Inc.",Consumer Cyclical,Footwear & Accessories,26150700.0,0.026B
AREB,"American Rebel Holdings, Inc.",Consumer Cyclical,Footwear & Accessories,6428277.0,0.006B
