symbol,name,sector,industry,marketCap,marketCap_str
SGI,Somnigroup International Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",17620097024.0,17.62B
SN,"SharkNinja, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",16507500544.0,16.508B
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",8244281856.0,8.244B
WHR,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5206563328.0,5.207B
PATK,"Patrick Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",3722222592.0,3.722B
HNI,HNI Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2060062976.0,2.06B
SCS,Steelcase Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1920362496.0,1.92B
MBC,"MasterBrand, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",1610750976.0,1.611B
TILE,"Interface, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",1559419264.0,1.559B
LZB,La-Z-Boy Incorporated,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1523430272.0,1.523B
MLKN,"MillerKnoll, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",1445283584.0,1.445B
LEG,"Leggett & Platt, Incorporated",Consumer Cyclical,"Furnishings, Fixtures & Appliances",1300723200.0,1.301B
AMWD,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",940720320.0,0.941B
ETD,Ethan Allen Interiors Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",750787520.0,0.751B
LOVE,The Lovesac Company,Consumer Cyclical,"Furnishings, Fixtures & Appliances",278324256.0,0.278B
FLXS,"Flexsteel Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",244699024.0,0.245B
SNBR,Sleep Number Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",239778624.0,0.24B
VIOT,"Viomi Technology Co., Ltd",Consumer Cyclical,"Furnishings, Fixtures & Appliances",238726944.0,0.239B
HBB,Hamilton Beach Brands Holding Company,Consumer Cyclical,"Furnishings, Fixtures & Appliances",198640656.0,0.199B
COOK,"Traeger, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",171216352.0,0.171B
KEQU,Kewaunee Scientific Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",167066560.0,0.167B
BSET,"Bassett Furniture Industries, Incorporated",Consumer Cyclical,"Furnishings, Fixtures & Appliances",146158736.0,0.146B
VIRC,Virco Mfg. Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",135505040.0,0.136B
PRPL,"Purple Innovation, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",125563040.0,0.126B
HOFT,Hooker Furnishings Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",106863024.0,0.107B
IRBT,iRobot Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",106337184.0,0.106B
LCUT,"Lifetime Brands, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",89496728.0,0.089B
NTZ,Natuzzi S.p.A.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",33814820.0,0.034B
CRWS,"Crown Crafts, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",31695000.0,0.032B
NVFY,"Nova LifeStyle, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",24444058.0,0.024B
EFOI,"Energy Focus, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",14344133.0,0.014B
MWYN,"Marwynn Holdings, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",14112185.0,0.014B
ATER,"Aterian, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",9653594.0,0.01B
FGI,FGI Industries Ltd.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",8287099.0,0.008B
