symbol,name,sector,industry,marketCap,marketCap_str
FLUT,Flutter Entertainment plc,Consumer Cyclical,Gambling,53996187648.0,53.996B
DKNG,DraftKings Inc.,Consumer Cyclical,Gambling,23820632064.0,23.821B
LNW,"Light & Wonder, Inc.",Consumer Cyclical,Gambling,7762542080.0,7.763B
CHDN,Churchill Downs Incorporated,Consumer Cyclical,Gambling,7273994240.0,7.274B
SGHC,Super Group (SGHC) Limited,Consumer Cyclical,Gambling,5880570368.0,5.881B
RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,Gambling,5093855232.0,5.094B
BRSL,Brightstar Lottery PLC,Consumer Cyclical,Gambling,3152065280.0,3.152B
SBET,"SharpLink Gaming, Inc.",Consumer Cyclical,Gambling,3009210112.0,3.009B
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,976965184.0,0.977B
CDRO,"Codere Online Luxembourg, S.A.",Consumer Cyclical,Gambling,376993024.0,0.377B
GAMB,Gambling.com Group Limited,Consumer Cyclical,Gambling,311771840.0,0.312B
INSE,"Inspired Entertainment, Inc.",Consumer Cyclical,Gambling,250360656.0,0.25B
BRAG,Bragg Gaming Group Inc.,Consumer Cyclical,Gambling,68713648.0,0.069B
SEGG,Lottery.com Inc.,Consumer Cyclical,Gambling,19701400.0,0.02B
