symbol,name,sector,industry,marketCap,marketCap_str
NEM,Newmont Corporation,Basic Materials,Gold,81724686336.0,81.725B
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,72422645760.0,72.423B
WPM,Wheaton Precious Metals Corp.,Basic Materials,Gold,45586161664.0,45.586B
B,Barric Minning,Basic Materials,Gold,45481377792.0,45.481B
FNV,Franco-Nevada Corporation,Basic Materials,Gold,36301074432.0,36.301B
GFI,Gold Fields Limited,Basic Materials,Gold,29965402112.0,29.965B
AU,AngloGold Ashanti plc,Basic Materials,Gold,28598794240.0,28.599B
KGC,Kinross Gold Corporation,Basic Materials,Gold,25472501760.0,25.473B
AGI,Alamos Gold Inc.,Basic Materials,Gold,12802763776.0,12.803B
PAAS,Pan American Silver Corp.,Basic Materials,Gold,12271440896.0,12.271B
RGLD,"Royal Gold, Inc.",Basic Materials,Gold,11821948928.0,11.822B
CDE,"Coeur Mining, Inc.",Basic Materials,Gold,8451715584.0,8.452B
HMY,Harmony Gold Mining Company Limited,Basic Materials,Gold,8275099648.0,8.275B
OR,OR Royalties Inc.,Basic Materials,Gold,6051771904.0,6.052B
IAG,IAMGOLD Corporation,Basic Materials,Gold,5353715712.0,5.354B
EGO,Eldorado Gold Corporation,Basic Materials,Gold,5035692544.0,5.036B
SSRM,SSR Mining Inc.,Basic Materials,Gold,3915681792.0,3.916B
SAND,Sandstorm Gold Ltd.,Basic Materials,Gold,3273004800.0,3.273B
AUGO,Aura Minerals Inc.,Basic Materials,Gold,2439823616.0,2.44B
FSM,Fortuna Mining Corp.,Basic Materials,Gold,2365901824.0,2.366B
SA,Seabridge Gold Inc.,Basic Materials,Gold,1781129856.0,1.781B
CGAU,Centerra Gold Inc.,Basic Materials,Gold,1661018240.0,1.661B
AAUC,Allied Gold Corporation,Basic Materials,Gold,1616999936.0,1.617B
DRD,DRDGOLD Limited,Basic Materials,Gold,1593779968.0,1.594B
ODV,Osisko Development Corp.,Basic Materials,Gold,645417920.0,0.645B
BGL,Blue Gold Limited,Basic Materials,Gold,357326720.0,0.357B
USAU,U.S. Gold Corp.,Basic Materials,Gold,184161376.0,0.184B
HYMC,Hycroft Mining Holding Corporation,Basic Materials,Gold,178189840.0,0.178B
NAMM,Namib Minerals,Basic Materials,Gold,151370272.0,0.151B
