symbol,name,sector,industry,marketCap,marketCap_str
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,44852817920.0,44.853B
SFM,"Sprouts Farmers Market, Inc.",Consumer Defensive,Grocery Stores,13734439936.0,13.734B
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,10894603264.0,10.895B
GO,Grocery Outlet Holding Corp.,Consumer Defensive,Grocery Stores,1776650752.0,1.777B
WMK,"Weis Markets, Inc.",Consumer Defensive,Grocery Stores,1772950656.0,1.773B
IMKTA,"Ingles Markets, Incorporated",Consumer Defensive,Grocery Stores,1285730944.0,1.286B
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",Consumer Defensive,Grocery Stores,882585152.0,0.883B
DNUT,"Krispy Kreme, Inc.",Consumer Defensive,Grocery Stores,607760000.0,0.608B
VLGEA,"Village Super Market, Inc.",Consumer Defensive,Grocery Stores,535344032.0,0.535B
DDL,Dingdong (Cayman) Limited,Consumer Defensive,Grocery Stores,446546176.0,0.447B
MSS,Maison Solutions Inc.,Consumer Defensive,Grocery Stores,18272784.0,0.018B
