symbol,name,sector,industry,marketCap
VEEV,Veeva Systems Inc.,Healthcare,Health Information Services,44124037120.0
DOCS,"Doximity, Inc.",Healthcare,Health Information Services,12725095424.0
HNGE,"Hinge Health, Inc.",Healthcare,Health Information Services,4398646272.0
PHR,"Phreesia, Inc.",Healthcare,Health Information Services,1883906176.0
TDOC,"Teladoc Health, Inc.",Healthcare,Health Information Services,1365821440.0
EVH,"Evolent Health, Inc.",Healthcare,Health Information Services,1119120128.0
CTEV,,Healthcare,Health Information Services,1135278592.0
WEAV,"Weave Communications, Inc.",Healthcare,Health Information Services,599341632.0
AMWL,American Well Corporation,Healthcare,Health Information Services,111449488.0
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,33662316544.0
TEM,"Tempus AI, Inc.",Healthcare,Health Information Services,13179005952.0
HQY,"HealthEquity, Inc.",Healthcare,Health Information Services,7724847616.0
WAY,Waystar Holding Corp.,Healthcare,Health Information Services,6600173568.0
BTSG,"BrightSpring Health Services, Inc.",Healthcare,Health Information Services,4196659712.0
PRVA,"Privia Health Group, Inc.",Healthcare,Health Information Services,2827699200.0
PINC,"Premier, Inc.",Healthcare,Health Information Services,2138034560.0
GDRX,"GoodRx Holdings, Inc.",Healthcare,Health Information Services,1511407360.0
CERT,"Certara, Inc.",Healthcare,Health Information Services,1741164160.0
TXG,"10x Genomics, Inc.",Healthcare,Health Information Services,1744104960.0
SDGR,"Schrödinger, Inc.",Healthcare,Health Information Services,1436053120.0
OMCL,"Omnicell, Inc.",Healthcare,Health Information Services,1496998784.0
OMDA,"Omada Health, Inc.",Healthcare,Health Information Services,1363949440.0
HSTM,"HealthStream, Inc.",Healthcare,Health Information Services,832324864.0
SY,So-Young International Inc.,Healthcare,Health Information Services,381393408.0
LFMD,"LifeMD, Inc.",Healthcare,Health Information Services,293513696.0
DH,Definitive Healthcare Corp.,Healthcare,Health Information Services,419466592.0
TALK,"Talkspace, Inc.",Healthcare,Health Information Services,445462240.0
CARL,"Carlsmed, Inc.",Healthcare,Health Information Services,352666784.0
SPOK,"Spok Holdings, Inc.",Healthcare,Health Information Services,373930752.0
TBRG,"TruBridge, Inc.",Healthcare,Health Information Services,299631520.0
NRC,National Research Corporation,Healthcare,Health Information Services,338802816.0
PHLT,,Healthcare,Health Information Services,602747136.0
HCAT,"Health Catalyst, Inc.",Healthcare,Health Information Services,238566512.0
SLP,"Simulations Plus, Inc.",Healthcare,Health Information Services,285201024.0
OPRX,OptimizeRx Corporation,Healthcare,Health Information Services,335469536.0
SOPH,SOPHiA GENETICS SA,Healthcare,Health Information Services,233825424.0
CCLD,"CareCloud, Inc.",Healthcare,Health Information Services,162516480.0
FORA,Forian Inc.,Healthcare,Health Information Services,61291232.0
BEAT,"HeartBeam, Inc.",Healthcare,Health Information Services,46320660.0
ZCMD,Zhongchao Inc.,Healthcare,Health Information Services,25271578.0
DRIO,DarioHealth Corp.,Healthcare,Health Information Services,22822384.0
STRM,"Streamline Health Solutions, Inc.",Healthcare,Health Information Services,23231740.0
VSEE,"VSee Health, Inc.",Healthcare,Health Information Services,9473880.0
HCTI,"Healthcare Triangle, Inc.",Healthcare,Health Information Services,13238254.0
MGRX,"Mangoceuticals, Inc.",Healthcare,Health Information Services,24864486.0
ONMD,OneMedNet Corporation,Healthcare,Health Information Services,39642216.0
BFRG,"Bullfrog AI Holdings, Inc.",Healthcare,Health Information Services,12198373.0
MSPR,,Healthcare,Health Information Services,4429819.0
POAI,Predictive Oncology Inc.,Healthcare,Health Information Services,9530023.0
ACON,"Aclarion, Inc.",Healthcare,Health Information Services,4174144.0
MNDR,Mobile-health Network Solutions,Healthcare,Health Information Services,288066656.0
OTRK,"Ontrak, Inc.",Healthcare,Health Information Services,510086.0
WORX,SCWorx Corp.,Healthcare,Health Information Services,2587361.0
