symbol,name,sector,industry,marketCap,marketCap_str
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,367845769216.0,367.846B
UL,Unilever PLC,Consumer Defensive,Household & Personal Products,154956283904.0,154.956B
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,67947139072.0,67.947B
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,42846068736.0,42.846B
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,39743938560.0,39.744B
EL,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,33012619264.0,33.013B
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,22694615040.0,22.695B
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,14456923136.0,14.457B
HIMS,"Hims & Hers Health, Inc.",Consumer Defensive,Household & Personal Products,9571946496.0,9.572B
ELF,"e.l.f. Beauty, Inc.",Consumer Defensive,Household & Personal Products,7091862528.0,7.092B
COTY,Coty Inc.,Consumer Defensive,Household & Personal Products,3733422592.0,3.733B
IPAR,"Interparfums, Inc.",Consumer Defensive,Household & Personal Products,3691597056.0,3.692B
NWL,Newell Brands Inc.,Consumer Defensive,Household & Personal Products,2481072128.0,2.481B
SPB,"Spectrum Brands Holdings, Inc.",Consumer Defensive,Household & Personal Products,1379556992.0,1.38B
EPC,Edgewell Personal Care Company,Consumer Defensive,Household & Personal Products,1116070144.0,1.116B
YSG,Yatsen Holding Limited,Consumer Defensive,Household & Personal Products,876543168.0,0.877B
NUS,"Nu Skin Enterprises, Inc.",Consumer Defensive,Household & Personal Products,602387008.0,0.602B
HELE,Helen of Troy Limited,Consumer Defensive,Household & Personal Products,563552576.0,0.564B
HNST,"The Honest Company, Inc.",Consumer Defensive,Household & Personal Products,440625248.0,0.441B
SKIN,The Beauty Health Company,Consumer Defensive,Household & Personal Products,263795984.0,0.264B
SLSN,"Solesence, Inc.",Consumer Defensive,Household & Personal Products,257963776.0,0.258B
EWCZ,"European Wax Center, Inc.",Consumer Defensive,Household & Personal Products,236899376.0,0.237B
WALD,Waldencast plc,Consumer Defensive,Household & Personal Products,191897152.0,0.192B
GROV,"Grove Collaborative Holdings, Inc.",Consumer Defensive,Household & Personal Products,62339608.0,0.062B
DSY,Big Tree Cloud Holdings Limited,Consumer Defensive,Household & Personal Products,61064720.0,0.061B
UG,"United-Guardian, Inc.",Consumer Defensive,Household & Personal Products,38638232.0,0.039B
RAY,Raytech Holding Limited,Consumer Defensive,Household & Personal Products,37014784.0,0.037B
PHH,"Park Ha Biological Technology Co., Ltd.",Consumer Defensive,Household & Personal Products,14696012.0,0.015B
XAGE,"Longevity Health Holdings, Inc.",Consumer Defensive,Household & Personal Products,4525085.0,0.005B
TANH,Tantech Holdings Ltd,Consumer Defensive,Household & Personal Products,2737055.0,0.003B
