ticker,name,sector,industry,marketCap
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,48477933568.0
FERG,Ferguson Enterprises Inc.,Industrials,Industrial Distribution,46388568064.0
WSO,"Watsco, Inc.",Industrials,Industrial Distribution,16498224128.0
CNM,"Core & Main, Inc.",Industrials,Industrial Distribution,12758060032.0
QXO,"QXO, Inc.",Industrials,Industrial Distribution,13558702080.0
WCC,"WESCO International, Inc.",Industrials,Industrial Distribution,10698007552.0
AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,9950908416.0
SITE,"SiteOne Landscape Supply, Inc.",Industrials,Industrial Distribution,6390308864.0
MSM,"MSC Industrial Direct Co., Inc.",Industrials,Industrial Distribution,5023627776.0
REZI,"Resideo Technologies, Inc.",Industrials,Industrial Distribution,5065380352.0
DNOW,DNOW Inc.,Industrials,Industrial Distribution,1680192000.0
GIC,Global Industrial Company,Industrials,Industrial Distribution,1432512640.0
BXC,BlueLinx Holdings Inc.,Industrials,Industrial Distribution,651992832.0
QXO,"QXO, Inc.",Industrials,Industrial Distribution,13558702080.0
FAST,Fastenal Company,Industrials,Industrial Distribution,56991805440.0
POOL,Pool Corporation,Industrials,Industrial Distribution,11595075584.0
DXPE,"DXP Enterprises, Inc.",Industrials,Industrial Distribution,1959879168.0
DSGR,"Distribution Solutions Group, Inc.",Industrials,Industrial Distribution,1490520960.0
TITN,Titan Machinery Inc.,Industrials,Industrial Distribution,461692000.0
WXM,WF International Limited,Industrials,Industrial Distribution,19823700.0
TLIH,Ten-League International Holdings Limited,Industrials,Industrial Distribution,16169424.0
