symbol,name,sector,industry,marketCap
IBM,International Business Machines Corporation,Technology,Information Technology Services,226815557632.0
ACN,Accenture plc,Technology,Information Technology Services,161923088384.0
FI,"Fiserv, Inc.",Technology,Information Technology Services,75113676800.0
INFY,Infosys Limited,Technology,Information Technology Services,70490095616.0
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,36467277824.0
WIT,Wipro Limited,Technology,Information Technology Services,29730996224.0
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,29940514816.0
IT,"Gartner, Inc.",Technology,Information Technology Services,19024076800.0
GIB,CGI Inc.,Technology,Information Technology Services,21636640768.0
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,23211493376.0
CACI,CACI International Inc,Technology,Information Technology Services,10550673408.0
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,9822705664.0
KD,"Kyndryl Holdings, Inc.",Technology,Information Technology Services,7348067840.0
PSN,Parsons Corporation,Technology,Information Technology Services,8554199040.0
G,Genpact Limited,Technology,Information Technology Services,7901401600.0
INGM,Ingram Micro Holding Corporation,Technology,Information Technology Services,4595896832.0
GLOB,Globant S.A.,Technology,Information Technology Services,2963052032.0
WNS,WNS (Holdings) Limited,Technology,Information Technology Services,3243836928.0
CLVT,Clarivate Plc,Technology,Information Technology Services,2924152576.0
DXC,DXC Technology Company,Technology,Information Technology Services,2586535680.0
ASGN,ASGN Incorporated,Technology,Information Technology Services,2376150016.0
BBAI,"BigBear.ai Holdings, Inc.",Technology,Information Technology Services,1879464320.0
VYX,NCR Voyix Corporation,Technology,Information Technology Services,1821924224.0
NABL,"N-able, Inc.",Technology,Information Technology Services,1507993856.0
UIS,Unisys Corporation,Technology,Information Technology Services,278755648.0
NOTE,"FiscalNote Holdings, Inc.",Technology,Information Technology Services,6101870.0
BTCM,BIT Mining Limited,Technology,Information Technology Services,50131524.0
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,35286609920.0
CDW,CDW Corporation,Technology,Information Technology Services,21593610240.0
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,11896984576.0
AUR,"Aurora Innovation, Inc.",Technology,Information Technology Services,10389208064.0
GDS,GDS Holdings Limited,Technology,Information Technology Services,6485219328.0
EXLS,"ExlService Holdings, Inc.",Technology,Information Technology Services,7071038464.0
SAIC,Science Applications International Corporation,Technology,Information Technology Services,5516928512.0
PONY,Pony AI Inc.,Technology,Information Technology Services,5105560064.0
VRRM,Verra Mobility Corporation,Technology,Information Technology Services,3964593664.0
CNXC,Concentrix Corporation,Technology,Information Technology Services,3325204224.0
APLD,Applied Digital Corporation,Technology,Information Technology Services,4187303168.0
VNET,"VNET Group, Inc.",Technology,Information Technology Services,2329764864.0
FORTY,Formula Systems (1985) Ltd.,Technology,Information Technology Services,1962585600.0
TASK,"TaskUs, Inc.",Technology,Information Technology Services,1574627584.0
INOD,Innodata Inc.,Technology,Information Technology Services,1209495936.0
PENG,"Penguin Solutions, Inc.",Technology,Information Technology Services,1264438528.0
MGIC,Magic Software Enterprises Ltd.,Technology,Information Technology Services,996715776.0
LZMH,LZ Technology Holdings Limited,Technology,Information Technology Services,555055488.0
GDYN,"Grid Dynamics Holdings, Inc.",Technology,Information Technology Services,701914304.0
XRX,Xerox Holdings Corporation,Technology,Information Technology Services,500799424.0
HCKT,"The Hackett Group, Inc.",Technology,Information Technology Services,572772736.0
TSSI,"TSS, Inc.",Technology,Information Technology Services,401237728.0
TTGT,"TechTarget, Inc.",Technology,Information Technology Services,421785120.0
CNDT,Conduent Incorporated,Technology,Information Technology Services,439167712.0
IBEX,IBEX Limited,Technology,Information Technology Services,394886976.0
MFH,Mercurity Fintech Holding Inc.,Technology,Information Technology Services,482848224.0
TTEC,"TTEC Holdings, Inc.",Technology,Information Technology Services,183676656.0
III,"Information Services Group, Inc.",Technology,Information Technology Services,249170736.0
CSPI,CSP Inc.,Technology,Information Technology Services,118927640.0
TDTH,Trident Digital Tech Holdings Ltd,Technology,Information Technology Services,56113500.0
VEEA,Veea Inc.,Technology,Information Technology Services,29607910.0
DAIC,"CID HoldCo, Inc.",Technology,Information Technology Services,116627712.0
MGRT,Mega Fortune Company Limited,Technology,Information Technology Services,48125000.0
DTST,Data Storage Corporation,Technology,Information Technology Services,33044104.0
CLPS,CLPS Incorporation,Technology,Information Technology Services,29665370.0
GLE,Global Engine Group Holding Limited,Technology,Information Technology Services,15599200.0
JFU,9F Inc.,Technology,Information Technology Services,29263714.0
SAIH,SAIHEAT Limited,Technology,Information Technology Services,11514854.0
CYCU,"Cycurion, Inc.",Technology,Information Technology Services,10290343.0
ARBB,ARB IOT Group Limited,Technology,Information Technology Services,7714273.0
JDZG,JIADE Limited,Technology,Information Technology Services,6098233.0
GMM,Global Mofy AI Limited,Technology,Information Technology Services,64867736.0
JZ,Jianzhi Education Technology Group Company Limited,Technology,Information Technology Services,4706895.0
