symbol,name,sector,industry,marketCap,marketCap_str
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,45051600896.0,45.052B
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,34160826368.0,34.161B
SLF,Sun Life Financial Inc.,Financial Services,Insurance - Diversified,32843972608.0,32.844B
BNT,Brookfield Wealth Solutions Ltd.,Financial Services,Insurance - Diversified,18643978240.0,18.644B
ACGLO,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,12408134656.0,12.408B
AEG,Aegon Ltd.,Financial Services,Insurance - Diversified,12360003584.0,12.36B
FIHL,Fidelis Insurance Holdings Limited,Financial Services,Insurance - Diversified,1832987648.0,1.833B
IGIC,International General Insurance Holdings Ltd.,Financial Services,Insurance - Diversified,1040479808.0,1.04B
WDH,Waterdrop Inc.,Financial Services,Insurance - Diversified,622058688.0,0.622B
FGF,Fundamental Global Inc.,Financial Services,Insurance - Diversified,23894170.0,0.024B
