symbol,name,sector,industry,marketCap,marketCap_str
AFL,Aflac Incorporated,Financial Services,Insurance - Life,57152040960.0,57.152B
MET,"MetLife, Inc.",Financial Services,Insurance - Life,54106513408.0,54.107B
MET,"MetLife, Inc.",Financial Services,Insurance - Life,54106513408.0,54.107B
MFC,Manulife Financial Corporation,Financial Services,Insurance - Life,52230107136.0,52.23B
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,38594072576.0,38.594B
PUK,Prudential plc,Financial Services,Insurance - Life,34115035136.0,34.115B
UNM,Unum Group,Financial Services,Insurance - Life,11898065920.0,11.898B
GL,Globe Life Inc.,Financial Services,Insurance - Life,11336439808.0,11.336B
GL,Globe Life Inc.,Financial Services,Insurance - Life,11336439808.0,11.336B
PRI,"Primerica, Inc.",Financial Services,Insurance - Life,8724272128.0,8.724B
LNC,Lincoln National Corporation,Financial Services,Insurance - Life,8138669568.0,8.139B
LNC,Lincoln National Corporation,Financial Services,Insurance - Life,8138669568.0,8.139B
JXN,Jackson Financial Inc.,Financial Services,Insurance - Life,6881568768.0,6.882B
JXN,Jackson Financial Inc.,Financial Services,Insurance - Life,6881568768.0,6.882B
FG,"F&G Annuities & Life, Inc.",Financial Services,Insurance - Life,4654815744.0,4.655B
CNO,"CNO Financial Group, Inc.",Financial Services,Insurance - Life,3825902336.0,3.826B
CNO,"CNO Financial Group, Inc.",Financial Services,Insurance - Life,3825902336.0,3.826B
GNW,"Genworth Financial, Inc.",Financial Services,Insurance - Life,3517419008.0,3.517B
BHFAP,"Brighthouse Financial, Inc.",Financial Services,Insurance - Life,3000925696.0,3.001B
BHF,"Brighthouse Financial, Inc.",Financial Services,Insurance - Life,2701022208.0,2.701B
ABL,"Abacus Global Management, Inc.",Financial Services,Insurance - Life,685837248.0,0.686B
CIA,"Citizens, Inc.",Financial Services,Insurance - Life,265798160.0,0.266B
AAME,Atlantic American Corporation,Financial Services,Insurance - Life,68738560.0,0.069B
