symbol,name,sector,industry,marketCap,marketCap_str
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,14339575808.0,14.34B
RGA,"Reinsurance Group of America, Incorporated",Financial Services,Insurance - Reinsurance,12874411008.0,12.874B
RNR,RenaissanceRe Holdings Ltd.,Financial Services,Insurance - Reinsurance,11436616704.0,11.437B
RNR,RenaissanceRe Holdings Ltd.,Financial Services,Insurance - Reinsurance,11436616704.0,11.437B
HG,"Hamilton Insurance Group, Ltd.",Financial Services,Insurance - Reinsurance,2370423040.0,2.37B
SPNT,SiriusPoint Ltd.,Financial Services,Insurance - Reinsurance,2185747200.0,2.186B
SPNT,SiriusPoint Ltd.,Financial Services,Insurance - Reinsurance,2185747200.0,2.186B
GLRE,"Greenlight Capital Re, Ltd.",Financial Services,Insurance - Reinsurance,440814816.0,0.441B
OXBR,Oxbridge Re Holdings Limited,Financial Services,Insurance - Reinsurance,16202229.0,0.016B
OXBRW,Oxbridge Re Holdings Limited,Financial Services,Insurance - Reinsurance,2240113.0,0.002B
