symbol,name,sector,industry,marketCap
RYAN,"Ryan Specialty Holdings, Inc.",Financial Services,Insurance - Specialty,14923864064.0
FNF,"Fidelity National Financial, Inc.",Financial Services,Insurance - Specialty,16268056576.0
AXS,AXIS Capital Holdings Limited,Financial Services,Insurance - Specialty,7706393088.0
FAF,First American Financial Corporation,Financial Services,Insurance - Specialty,6718799872.0
MTG,MGIC Investment Corporation,Financial Services,Insurance - Specialty,6415455232.0
ESNT,Essent Group Ltd.,Financial Services,Insurance - Specialty,6182010880.0
RDN,Radian Group Inc.,Financial Services,Insurance - Specialty,4724496384.0
AGO,Assured Guaranty Ltd.,Financial Services,Insurance - Specialty,3912160768.0
EIG,"Employers Holdings, Inc.",Financial Services,Insurance - Specialty,1017111808.0
AMBC,"Ambac Financial Group, Inc.",Financial Services,Insurance - Specialty,419007328.0
MBI,MBIA Inc.,Financial Services,Insurance - Specialty,401890048.0
AXS,AXIS Capital Holdings Limited,Financial Services,Insurance - Specialty,7706393088.0
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty,5553601024.0
NMIH,"NMI Holdings, Inc.",Financial Services,Insurance - Specialty,3052540672.0
AMSF,"AMERISAFE, Inc.",Financial Services,Insurance - Specialty,876990528.0
TIPT,Tiptree Inc.,Financial Services,Insurance - Specialty,879379712.0
ITIC,Investors Title Company,Financial Services,Insurance - Specialty,468608128.0
JRVR,"James River Group Holdings, Ltd.",Financial Services,Insurance - Specialty,258050720.0
