symbol,name,sector,industry,marketCap,marketCap_str
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,101181136896.0,101.181B
AON,Aon plc,Financial Services,Insurance Brokers,79135113216.0,79.135B
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,77613899776.0,77.614B
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,31978278912.0,31.978B
WTW,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,31877711872.0,31.878B
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,18530494464.0,18.53B
CRVL,CorVel Corporation,Financial Services,Insurance Brokers,4569396224.0,4.569B
ARX,Accelerant Holdings,Financial Services,Insurance Brokers,4410739200.0,4.411B
GSHD,"Goosehead Insurance, Inc",Financial Services,Insurance Brokers,3181546496.0,3.182B
BWIN,"The Baldwin Insurance Group, Inc.",Financial Services,Insurance Brokers,2258546176.0,2.259B
TWFG,"TWFG, Inc.",Financial Services,Insurance Brokers,396820448.0,0.397B
SLQT,"SelectQuote, Inc.",Financial Services,Insurance Brokers,390566400.0,0.391B
XHG,XChange TEC.INC,Financial Services,Insurance Brokers,257957488.0,0.258B
KG,Kestrel Group Ltd,Financial Services,Insurance Brokers,208645296.0,0.209B
GOCO,"GoHealth, Inc.",Financial Services,Insurance Brokers,146193008.0,0.146B
EHTH,"eHealth, Inc.",Financial Services,Insurance Brokers,118256360.0,0.118B
TIRX,Tian Ruixiang Holdings Ltd.,Financial Services,Insurance Brokers,72012296.0,0.072B
AIFU,AIFU Inc.,Financial Services,Insurance Brokers,67520016.0,0.068B
ZBAO,Zhibao Technology Inc.,Financial Services,Insurance Brokers,34567888.0,0.035B
HUIZ,Huize Holding Limited,Financial Services,Insurance Brokers,25725930.0,0.026B
RELI,"Reliance Global Group, Inc.",Financial Services,Insurance Brokers,4335994.0,0.004B
