symbol,name,sector,industry,marketCap,marketCap_str
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,74111524864.0,74.112B
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,54520504320.0,54.521B
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,16359569408.0,16.36B
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,15198311424.0,15.198B
ZTO,ZTO Express (Cayman) Inc.,Industrials,Integrated Freight & Logistics,14536176640.0,14.536B
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,14034930688.0,14.035B
GXO,"GXO Logistics, Inc.",Industrials,Integrated Freight & Logistics,6027003392.0,6.027B
LSTR,"Landstar System, Inc.",Industrials,Integrated Freight & Logistics,4585697792.0,4.586B
HUBG,"Hub Group, Inc.",Industrials,Integrated Freight & Logistics,2290837248.0,2.291B
PBI,Pitney Bowes Inc.,Industrials,Integrated Freight & Logistics,2086130816.0,2.086B
PBI,Pitney Bowes Inc.,Industrials,Integrated Freight & Logistics,2086130816.0,2.086B
FWRD,Forward Air Corporation,Industrials,Integrated Freight & Logistics,924680768.0,0.925B
CYRX,"Cryoport, Inc.",Industrials,Integrated Freight & Logistics,443593600.0,0.444B
FLX,BingEx Limited,Industrials,Integrated Freight & Logistics,228326992.0,0.228B
PAL,"Proficient Auto Logistics, Inc.",Industrials,Integrated Freight & Logistics,219533104.0,0.22B
CRGO,Freightos Limited,Industrials,Integrated Freight & Logistics,164140048.0,0.164B
SFWL,Shengfeng Development Limited,Industrials,Integrated Freight & Logistics,93222176.0,0.093B
BTOC,Armlogi Holding Corp.,Industrials,Integrated Freight & Logistics,56851200.0,0.057B
JYD,Jayud Global Logistics Limited,Industrials,Integrated Freight & Logistics,23843796.0,0.024B
CJMB,Callan JMB Inc.,Industrials,Integrated Freight & Logistics,21576352.0,0.022B
LSH,Lakeside Holding Limited,Industrials,Integrated Freight & Logistics,14250000.0,0.014B
HXHX,Haoxin Holdings Limited,Industrials,Integrated Freight & Logistics,13267375.0,0.013B
NCEW,New Century Logistics (BVI) Limited,Industrials,Integrated Freight & Logistics,12680700.0,0.013B
PSIG,PS International Group Ltd.,Industrials,Integrated Freight & Logistics,11863650.0,0.012B
ATXG,Addentax Group Corp.,Industrials,Integrated Freight & Logistics,6561740.0,0.007B
CTNT,Cheetah Net Supply Chain Service Inc.,Industrials,Integrated Freight & Logistics,5375546.0,0.005B
SGLY,Singularity Future Technology Ltd.,Industrials,Integrated Freight & Logistics,4581804.0,0.005B
GVH,Globavend Holdings Limited,Industrials,Integrated Freight & Logistics,1090524.0,0.001B
