ticker,name,sector,industry,marketCap
AS,"Amer Sports, Inc.",Consumer Cyclical,Leisure,21805731840.0
PLNT,"Planet Fitness, Inc.",Consumer Cyclical,Leisure,8827681792.0
LTH,"Life Time Group Holdings, Inc.",Consumer Cyclical,Leisure,6142288384.0
GOLF,Acushnet Holdings Corp.,Consumer Cyclical,Leisure,4496059392.0
YETI,"YETI Holdings, Inc.",Consumer Cyclical,Leisure,2855842816.0
FUN,Six Flags Entertainment Corporation,Consumer Cyclical,Leisure,2298020608.0
PRKS,United Parks & Resorts Inc.,Consumer Cyclical,Leisure,2893193472.0
MSGE,Madison Square Garden Entertainment Corp.,Consumer Cyclical,Leisure,1932092544.0
MODG,Topgolf Callaway Brands Corp.,Consumer Cyclical,Leisure,1757758976.0
LUCK,Lucky Strike Entertainment Corporation,Consumer Cyclical,Leisure,1500300544.0
XPOF,"Xponential Fitness, Inc.",Consumer Cyclical,Leisure,410702336.0
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,11382711296.0
MAT,"Mattel, Inc.",Consumer Cyclical,Leisure,5896259584.0
PTON,"Peloton Interactive, Inc.",Consumer Cyclical,Leisure,3099006464.0
OSW,OneSpaWorld Holdings Limited,Consumer Cyclical,Leisure,2317871360.0
JOUT,Johnson Outdoors Inc.,Consumer Cyclical,Leisure,418211136.0
FNKO,"Funko, Inc.",Consumer Cyclical,Leisure,189322896.0
JAKK,"JAKKS Pacific, Inc.",Consumer Cyclical,Leisure,198078640.0
ESCA,"Escalade, Incorporated",Consumer Cyclical,Leisure,173926624.0
PLBY,"Playboy, Inc.",Consumer Cyclical,Leisure,176378720.0
TRON,Tron Inc.,Consumer Cyclical,Leisure,143577712.0
CLAR,Clarus Corporation,Consumer Cyclical,Leisure,139398544.0
AOUT,"American Outdoor Brands, Inc.",Consumer Cyclical,Leisure,133193512.0
DOGZ,Dogness (International) Corporation,Consumer Cyclical,Leisure,152019056.0
YYAI,Connexa Sports Technologies Inc.,Consumer Cyclical,Leisure,46747232.0
KMRK,K-TECH Solutions Company Limited,Consumer Cyclical,Leisure,26723150.0
AGH,Aureus Greenway Holdings Inc.,Consumer Cyclical,Leisure,63403064.0
HWH,HWH International Inc.,Consumer Cyclical,Leisure,9326016.0
NWTG,"Newton Golf Company, Inc.",Consumer Cyclical,Leisure,9082528.0
GDHG,Golden Heaven Group Holdings Ltd.,Consumer Cyclical,Leisure,20535086.0
