symbol,name,sector,industry,marketCap,marketCap_str
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,72712732672.0,72.713B
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,64927653888.0,64.928B
IHG,InterContinental Hotels Group PLC,Consumer Cyclical,Lodging,18705543168.0,18.706B
H,Hyatt Hotels Corporation,Consumer Cyclical,Lodging,13776575488.0,13.777B
HTHT,H World Group Limited,Consumer Cyclical,Lodging,11449110528.0,11.449B
WH,"Wyndham Hotels & Resorts, Inc.",Consumer Cyclical,Lodging,6613210624.0,6.613B
CHH,"Choice Hotels International, Inc.",Consumer Cyclical,Lodging,5532775424.0,5.533B
ATAT,Atour Lifestyle Holdings Limited,Consumer Cyclical,Lodging,5378199040.0,5.378B
SHCO,Soho House & Co Inc.,Consumer Cyclical,Lodging,1722777088.0,1.723B
CVEO,Civeo Corporation,Consumer Cyclical,Lodging,298105248.0,0.298B
GHG,GreenTree Hospitality Group Ltd.,Consumer Cyclical,Lodging,213200384.0,0.213B
INTG,The InterGroup Corporation,Consumer Cyclical,Lodging,35784584.0,0.036B
SOND,Sonder Holdings Inc.,Consumer Cyclical,Lodging,25552320.0,0.026B
UOKA,MDJM Ltd,Consumer Cyclical,Lodging,2735876.0,0.003B
