symbol,name,sector,industry,marketCap,marketCap_str
KEX,Kirby Corporation,Industrials,Marine Shipping,5423759872.0,5.424B
MATX,"Matson, Inc.",Industrials,Marine Shipping,3307645440.0,3.308B
HAFN,Hafnia Limited,Industrials,Marine Shipping,3052678912.0,3.053B
BWLP,BW LPG Limited,Industrials,Marine Shipping,2356410624.0,2.356B
SBLK,Star Bulk Carriers Corp.,Industrials,Marine Shipping,2131918720.0,2.132B
DAC,Danaos Corporation,Industrials,Marine Shipping,1683943168.0,1.684B
ZIM,ZIM Integrated Shipping Services Ltd.,Industrials,Marine Shipping,1639433344.0,1.639B
GOGL,Golden Ocean Group Limited,Industrials,Marine Shipping,1591235968.0,1.591B
NMM,Navios Maritime Partners L.P.,Industrials,Marine Shipping,1379715456.0,1.38B
CMRE,Costamare Inc.,Industrials,Marine Shipping,1375877248.0,1.376B
CMRE,Costamare Inc.,Industrials,Marine Shipping,1375877248.0,1.376B
CCEC,Capital Clean Energy Carriers Corp.,Industrials,Marine Shipping,1239103872.0,1.239B
SFL,SFL Corporation Ltd.,Industrials,Marine Shipping,1079159936.0,1.079B
GSL,"Global Ship Lease, Inc.",Industrials,Marine Shipping,1070158592.0,1.07B
GSL,"Global Ship Lease, Inc.",Industrials,Marine Shipping,1070158592.0,1.07B
ECO,Okeanis Eco Tankers Corp.,Industrials,Marine Shipping,887591296.0,0.888B
GNK,Genco Shipping & Trading Limited,Industrials,Marine Shipping,723438016.0,0.723B
ASC,Ardmore Shipping Corporation,Industrials,Marine Shipping,472867776.0,0.473B
ESEA,Euroseas Ltd.,Industrials,Marine Shipping,436301600.0,0.436B
SB,"Safe Bulkers, Inc.",Industrials,Marine Shipping,434860000.0,0.435B
SB,"Safe Bulkers, Inc.",Industrials,Marine Shipping,434860000.0,0.435B
HSHP,Himalaya Shipping Ltd.,Industrials,Marine Shipping,352383520.0,0.352B
PANL,"Pangaea Logistics Solutions, Ltd.",Industrials,Marine Shipping,347739328.0,0.348B
GASS,StealthGas Inc.,Industrials,Marine Shipping,282147488.0,0.282B
CMDB,Costamare Bulkers Holdings Limited,Industrials,Marine Shipping,255984976.0,0.256B
DSX,Diana Shipping Inc.,Industrials,Marine Shipping,189870992.0,0.19B
DSX,Diana Shipping Inc.,Industrials,Marine Shipping,189870992.0,0.19B
UFG,Uni-Fuels Holdings Limited,Industrials,Marine Shipping,186710400.0,0.187B
SMHI,SEACOR Marine Holdings Inc.,Industrials,Marine Shipping,172918080.0,0.173B
SHIP,Seanergy Maritime Holdings Corp,Industrials,Marine Shipping,162829696.0,0.163B
HMR,Heidmar Maritime Holdings Corp.,Industrials,Marine Shipping,82078496.0,0.082B
HTCO,High-Trend International Group,Industrials,Marine Shipping,52877760.0,0.053B
TORO,Toro Corp.,Industrials,Marine Shipping,52452124.0,0.052B
NCT,Intercont (Cayman) Limited,Industrials,Marine Shipping,34944248.0,0.035B
EDRY,EuroDry Ltd.,Industrials,Marine Shipping,30811028.0,0.031B
PSHG,Performance Shipping Inc.,Industrials,Marine Shipping,23496858.0,0.023B
GLBS,Globus Maritime Limited,Industrials,Marine Shipping,21405592.0,0.021B
CTRM,Castor Maritime Inc.,Industrials,Marine Shipping,20580806.0,0.021B
EHLD,Euroholdings Ltd.,Industrials,Marine Shipping,20458520.0,0.02B
USEA,United Maritime Corporation,Industrials,Marine Shipping,15397823.0,0.015B
OP,OceanPal Inc.,Industrials,Marine Shipping,8704930.0,0.009B
ICON,Icon Energy Corp.,Industrials,Marine Shipping,4370460.0,0.004B
CISS,C3is Inc.,Industrials,Marine Shipping,2352376.0,0.002B
