ticker,name,sector,industry,marketCap
ABT,Abbott Laboratories,Healthcare,Medical Devices,230889439232.0
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,156324626432.0
SYK,Stryker Corporation,Healthcare,Medical Devices,149638791168.0
MDT,Medtronic plc,Healthcare,Medical Devices,119046463488.0
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,47754715136.0
PHG,Koninklijke Philips N.V.,Healthcare,Medical Devices,26216830976.0
STE,STERIS plc,Healthcare,Medical Devices,24136105984.0
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,21017985024.0
SNN,Smith & Nephew plc,Healthcare,Medical Devices,16292061184.0
PEN,"Penumbra, Inc.",Healthcare,Medical Devices,10632715264.0
GMED,"Globus Medical, Inc.",Healthcare,Medical Devices,8274941952.0
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,7857895936.0
GKOS,Glaukos Corporation,Healthcare,Medical Devices,5495277056.0
ITGR,Integer Holdings Corporation,Healthcare,Medical Devices,3779204096.0
INSP,"Inspire Medical Systems, Inc.",Healthcare,Medical Devices,2770816256.0
HAE,Haemonetics Corporation,Healthcare,Medical Devices,2627589888.0
ENOV,Enovis Corporation,Healthcare,Medical Devices,1766237824.0
CNMD,CONMED Corporation,Healthcare,Medical Devices,1682713856.0
AORT,"Artivion, Inc.",Healthcare,Medical Devices,2072779904.0
AVNS,"Avanos Medical, Inc.",Healthcare,Medical Devices,554045824.0
BFLY,"Butterfly Network, Inc.",Healthcare,Medical Devices,405303008.0
OWLT,"Owlet, Inc.",Healthcare,Medical Devices,128345088.0
RBOT,Vicarious Surgical Inc.,Healthcare,Medical Devices,36368188.0
ALUR,Allurion Technologies Inc.,Healthcare,Medical Devices,16845016.0
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,7857895936.0
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,29544955904.0
PODD,Insulet Corporation,Healthcare,Medical Devices,23925002240.0
MASI,Masimo Corporation,Healthcare,Medical Devices,7589718016.0
BRKR,Bruker Corporation,Healthcare,Medical Devices,5155411968.0
IRTC,"iRhythm Technologies, Inc.",Healthcare,Medical Devices,5461083136.0
TMDX,"TransMedics Group, Inc.",Healthcare,Medical Devices,3919032320.0
PRCT,PROCEPT BioRobotics Corporation,Healthcare,Medical Devices,2234894080.0
LIVN,LivaNova PLC,Healthcare,Medical Devices,3077863936.0
UFPT,"UFP Technologies, Inc.",Healthcare,Medical Devices,1620571136.0
QDEL,QuidelOrtho Corporation,Healthcare,Medical Devices,1948065280.0
ATEC,"Alphatec Holdings, Inc.",Healthcare,Medical Devices,2352945664.0
SSII,"SS Innovations International, Inc.",Healthcare,Medical Devices,1355228032.0
NVCR,NovoCure Limited,Healthcare,Medical Devices,1378481664.0
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,1283977984.0
ESTA,Establishment Labs Holdings Inc.,Healthcare,Medical Devices,1195620864.0
TNDM,"Tandem Diabetes Care, Inc.",Healthcare,Medical Devices,845294528.0
IART,Integra LifeSciences Holdings Corporation,Healthcare,Medical Devices,1178790400.0
INMD,InMode Ltd.,Healthcare,Medical Devices,944345408.0
SIBN,"SI-BONE, Inc.",Healthcare,Medical Devices,719158784.0
IRMD,IRADIMED CORPORATION,Healthcare,Medical Devices,921436800.0
BBNX,"Beta Bionics, Inc.",Healthcare,Medical Devices,818976704.0
AXGN,"Axogen, Inc.",Healthcare,Medical Devices,742643328.0
KIDS,OrthoPediatrics Corp.,Healthcare,Medical Devices,535572096.0
BVS,Bioventus Inc.,Healthcare,Medical Devices,495003040.0
SRDX,"Surmodics, Inc.",Healthcare,Medical Devices,486690304.0
CBLL,,Healthcare,Medical Devices,433735104.0
LAB,Standard BioTools Inc.,Healthcare,Medical Devices,481313696.0
ZIMV,ZimVie Inc.,Healthcare,Medical Devices,532432960.0
PACB,"Pacific Biosciences of California, Inc.",Healthcare,Medical Devices,393486016.0
CTKB,"Cytek Biosciences, Inc.",Healthcare,Medical Devices,526707328.0
OFIX,Orthofix Medical Inc.,Healthcare,Medical Devices,591624576.0
SMLR,"Semler Scientific, Inc.",Healthcare,Medical Devices,438811296.0
DCTH,"Delcath Systems, Inc.",Healthcare,Medical Devices,385493952.0
TMCI,"Treace Medical Concepts, Inc.",Healthcare,Medical Devices,463690560.0
VREX,Varex Imaging Corporation,Healthcare,Medical Devices,479564096.0
RXST,"RxSight, Inc.",Healthcare,Medical Devices,369880640.0
NNOX,Nano-X Imaging Ltd.,Healthcare,Medical Devices,247446240.0
OM,"Outset Medical, Inc.",Healthcare,Medical Devices,247127840.0
QSI,Quantum-Si incorporated,Healthcare,Medical Devices,226794416.0
SNWV,"SANUWAVE Health, Inc.",Healthcare,Medical Devices,356771520.0
CLPT,"ClearPoint Neuro, Inc.",Healthcare,Medical Devices,298203424.0
