symbol,name,sector,industry,marketCap
MCK,McKesson Corporation,Healthcare,Medical Distribution,85407031296.0
COR,"Cencora, Inc.",Healthcare,Medical Distribution,56536760320.0
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,35527770112.0
OMI,"Owens & Minor, Inc.",Healthcare,Medical Distribution,378496576.0
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,8437827584.0
AHG,Akso Health Group,Healthcare,Medical Distribution,939133760.0
QIPT,Quipt Home Medical Corp.,Healthcare,Medical Distribution,114257728.0
ZYXI,"Zynex, Inc.",Healthcare,Medical Distribution,49687736.0
YI,"111, Inc.",Healthcare,Medical Distribution,55731636.0
EDAP,EDAP TMS S.A.,Healthcare,Medical Distribution,84506144.0
SNYR,Synergy CHC Corp.,Healthcare,Medical Distribution,22849278.0
EMPG,Empro Group Inc.,Healthcare,Medical Distribution,86520000.0
COSM,Cosmos Health Inc.,Healthcare,Medical Distribution,23868982.0
