symbol,name,sector,industry,marketCap,marketCap_str
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,169665380352.0,169.665B
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,55313276928.0,55.313B
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,40192385024.0,40.192B
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,39522390016.0,39.522B
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,17757505536.0,17.758B
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,14928764928.0,14.929B
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,13398731776.0,13.399B
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,12681303040.0,12.681B
SOLV,Solventum Corporation,Healthcare,Medical Instruments & Supplies,12672928768.0,12.673B
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,10290169856.0,10.29B
AVTR,"Avantor, Inc.",Healthcare,Medical Instruments & Supplies,9183024128.0,9.183B
ATR,"AptarGroup, Inc.",Healthcare,Medical Instruments & Supplies,9175177216.0,9.175B
RGEN,Repligen Corporation,Healthcare,Medical Instruments & Supplies,6881429504.0,6.881B
STVN,Stevanato Group S.p.A.,Healthcare,Medical Instruments & Supplies,6281384960.0,6.281B
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,5586412032.0,5.586B
MMSI,"Merit Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,5361697280.0,5.362B
BLCO,Bausch + Lomb Corporation,Healthcare,Medical Instruments & Supplies,5177059328.0,5.177B
NVST,Envista Holdings Corporation,Healthcare,Medical Instruments & Supplies,3519734784.0,3.52B
WRBY,Warby Parker Inc.,Healthcare,Medical Instruments & Supplies,3195299584.0,3.195B
ICUI,"ICU Medical, Inc.",Healthcare,Medical Instruments & Supplies,3151376640.0,3.151B
XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,2852621312.0,2.853B
LMAT,"LeMaitre Vascular, Inc.",Healthcare,Medical Instruments & Supplies,2158825216.0,2.159B
NNNN,Anbio Biotechnology,Healthcare,Medical Instruments & Supplies,1976859648.0,1.977B
ATRC,"AtriCure, Inc.",Healthcare,Medical Instruments & Supplies,1838454912.0,1.838B
AZTA,"Azenta, Inc.",Healthcare,Medical Instruments & Supplies,1399944448.0,1.4B
STAA,STAAR Surgical Company,Healthcare,Medical Instruments & Supplies,1355770112.0,1.356B
BLFS,"BioLife Solutions, Inc.",Healthcare,Medical Instruments & Supplies,1200027776.0,1.2B
PLSE,"Pulse Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,1045504832.0,1.046B
EMBC,Embecta Corp.,Healthcare,Medical Instruments & Supplies,846864192.0,0.847B
KMTS,"Kestra Medical Technologies, Ltd.",Healthcare,Medical Instruments & Supplies,828768000.0,0.829B
ANGO,"AngioDynamics, Inc.",Healthcare,Medical Instruments & Supplies,416903808.0,0.417B
SMTI,Sanara MedTech Inc.,Healthcare,Medical Instruments & Supplies,299653088.0,0.3B
OSUR,"OraSure Technologies, Inc.",Healthcare,Medical Instruments & Supplies,242083472.0,0.242B
NYXH,Nyxoah SA,Healthcare,Medical Instruments & Supplies,233632448.0,0.234B
UTMD,"Utah Medical Products, Inc.",Healthcare,Medical Instruments & Supplies,199427840.0,0.199B
KRMD,"KORU Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,195111696.0,0.195B
MBOT,Microbot Medical Inc.,Healthcare,Medical Instruments & Supplies,184837952.0,0.185B
PDEX,"Pro-Dex, Inc.",Healthcare,Medical Instruments & Supplies,152877552.0,0.153B
AVR,Anteris Technologies Global Corp.,Healthcare,Medical Instruments & Supplies,144970848.0,0.145B
ZJYL,Jin Medical International Ltd.,Healthcare,Medical Instruments & Supplies,111273616.0,0.111B
ZTEK,Zentek Ltd.,Healthcare,Medical Instruments & Supplies,70155704.0,0.07B
DXR,Daxor Corporation,Healthcare,Medical Instruments & Supplies,54584640.0,0.055B
NEPH,"Nephros, Inc.",Healthcare,Medical Instruments & Supplies,39540240.0,0.04B
POCI,"Precision Optics Corporation, Inc.",Healthcare,Medical Instruments & Supplies,36031372.0,0.036B
HBIO,"Harvard Bioscience, Inc.",Healthcare,Medical Instruments & Supplies,22042944.0,0.022B
NXGL,"NEXGEL, Inc.",Healthcare,Medical Instruments & Supplies,19805908.0,0.02B
CUPR,Cuprina Holdings (Cayman) Limited,Healthcare,Medical Instruments & Supplies,19734000.0,0.02B
BNGO,"Bionano Genomics, Inc.",Healthcare,Medical Instruments & Supplies,17647370.0,0.018B
STSS,"Sharps Technology, Inc.",Healthcare,Medical Instruments & Supplies,13864496.0,0.014B
MHUA,"Meihua International Medical Technologies Co., Ltd.",Healthcare,Medical Instruments & Supplies,13396700.0,0.013B
FEMY,Femasys Inc.,Healthcare,Medical Instruments & Supplies,11567525.0,0.012B
EKSO,"Ekso Bionics Holdings, Inc.",Healthcare,Medical Instruments & Supplies,9794212.0,0.01B
LUCY,"Innovative Eyewear, Inc.",Healthcare,Medical Instruments & Supplies,8828978.0,0.009B
GCTK,"GlucoTrack, Inc.",Healthcare,Medical Instruments & Supplies,3795510.0,0.004B
