ticker,name,sector,industry,marketCap
CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,12007891968.0
ATI,ATI Inc.,Industrials,Metal Fabrication,10687493120.0
MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,10620654592.0
ESAB,ESAB Corporation,Industrials,Metal Fabrication,7002809344.0
WOR,"Worthington Enterprises, Inc.",Industrials,Metal Fabrication,3276412416.0
PRLB,"Proto Labs, Inc.",Industrials,Metal Fabrication,1189203840.0
IIIN,"Insteel Industries, Inc.",Industrials,Metal Fabrication,744948160.0
RYI,Ryerson Holding Corporation,Industrials,Metal Fabrication,734134912.0
MEC,"Mayville Engineering Company, Inc.",Industrials,Metal Fabrication,296639872.0
TG,Tredegar Corporation,Industrials,Metal Fabrication,272281216.0
AP,Ampco-Pittsburgh Corporation,Industrials,Metal Fabrication,55262240.0
CMPO,"CompoSecure, Inc.",Industrials,Metal Fabrication,1957486592.0
GIFI,"Gulf Island Fabrication, Inc.",Industrials,Metal Fabrication,108395248.0
MTEN,Mingteng International Corporation Inc.,Industrials,Metal Fabrication,82759160.0
TPCS,TechPrecision Corporation,Industrials,Metal Fabrication,54243576.0
TRSG,Tungray Technologies Inc.,Industrials,Metal Fabrication,27308708.0
HIHO,Highway Holdings Limited,Industrials,Metal Fabrication,7869112.0
SGBX,Safe & Green Holdings Corp.,Industrials,Metal Fabrication,5534590.0
