symbol,name,sector,industry,marketCap,marketCap_str
RKT,"Rocket Companies, Inc.",Financial Services,Mortgage Finance,37506961408.0,37.507B
COOP,Mr. Cooper Group Inc.,Financial Services,Mortgage Finance,12064656384.0,12.065B
UWMC,UWM Holdings Corporation,Financial Services,Mortgage Finance,9868580864.0,9.869B
PFSI,"PennyMac Financial Services, Inc.",Financial Services,Mortgage Finance,5693271040.0,5.693B
WD,"Walker & Dunlop, Inc.",Financial Services,Mortgage Finance,2897576960.0,2.898B
GHLD,Guild Holdings Company,Financial Services,Mortgage Finance,1239385600.0,1.239B
VEL,"Velocity Financial, Inc.",Financial Services,Mortgage Finance,733408512.0,0.733B
LDI,"loanDepot, Inc.",Financial Services,Mortgage Finance,708181696.0,0.708B
BETR,Better Home & Finance Holding Company,Financial Services,Mortgage Finance,346044384.0,0.346B
ONIT,Onity Group Inc.,Financial Services,Mortgage Finance,333244448.0,0.333B
GHI,Greystone Housing Impact Investors LP,Financial Services,Mortgage Finance,251625280.0,0.252B
SNFCA,Security National Financial Corporation,Financial Services,Mortgage Finance,245534400.0,0.246B
CNF,CNFinance Holdings Limited,Financial Services,Mortgage Finance,28118702.0,0.028B
