symbol,name,sector,industry,marketCap,marketCap_str
COP,ConocoPhillips,Energy,Oil & Gas E&P,123607597056.0,123.608B
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,68150849536.0,68.151B
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas E&P,65856372736.0,65.856B
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,46869188608.0,46.869B
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,43063939072.0,43.064B
WDS,Woodside Energy Group Ltd,Energy,Oil & Gas E&P,32620525568.0,32.621B
EQT,EQT Corporation,Energy,Oil & Gas E&P,32351424512.0,32.351B
EXE,Expand Energy Corporation,Energy,Oil & Gas E&P,23047770112.0,23.048B
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,22916278272.0,22.916B
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,21458184192.0,21.458B
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,18651142144.0,18.651B
PR,Permian Resources Corporation,Energy,Oil & Gas E&P,11438173184.0,11.438B
OVV,Ovintiv Inc.,Energy,Oil & Gas E&P,10826397696.0,10.826B
AR,Antero Resources Corporation,Energy,Oil & Gas E&P,9861078016.0,9.861B
APA,APA Corporation,Energy,Oil & Gas E&P,8307790336.0,8.308B
RRC,Range Resources Corporation,Energy,Oil & Gas E&P,8162805760.0,8.163B
CHRD,Chord Energy Corporation,Energy,Oil & Gas E&P,6292092416.0,6.292B
MTDR,Matador Resources Company,Energy,Oil & Gas E&P,6269517824.0,6.27B
MGY,Magnolia Oil & Gas Corporation,Energy,Oil & Gas E&P,4747476992.0,4.747B
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P,4727170560.0,4.727B
CRC,California Resources Corporation,Energy,Oil & Gas E&P,4157222400.0,4.157B
CNX,CNX Resources Corporation,Energy,Oil & Gas E&P,4129435136.0,4.129B
VIST,"Vista Energy, S.A.B. de C.V.",Energy,Oil & Gas E&P,4063898880.0,4.064B
MUR,Murphy Oil Corporation,Energy,Oil & Gas E&P,3548317696.0,3.548B
CIVI,"Civitas Resources, Inc.",Energy,Oil & Gas E&P,3408034560.0,3.408B
SM,SM Energy Company,Energy,Oil & Gas E&P,3281936640.0,3.282B
