symbol,name,sector,industry,marketCap,marketCap_str
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,54635438080.0,54.635B
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,53982883840.0,53.983B
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,47222210560.0,47.222B
DINO,HF Sinclair Corporation,Energy,Oil & Gas Refining & Marketing,9518681088.0,9.519B
SUN,Sunoco LP,Energy,Oil & Gas Refining & Marketing,7144440832.0,7.144B
IEP,Icahn Enterprises L.P.,Energy,Oil & Gas Refining & Marketing,4856867840.0,4.857B
UGP,Ultrapar Participações S.A.,Energy,Oil & Gas Refining & Marketing,3903310080.0,3.903B
PBF,PBF Energy Inc.,Energy,Oil & Gas Refining & Marketing,3160896768.0,3.161B
CVI,"CVR Energy, Inc.",Energy,Oil & Gas Refining & Marketing,3065190144.0,3.065B
DKL,"Delek Logistics Partners, LP",Energy,Oil & Gas Refining & Marketing,2342783744.0,2.343B
CSAN,Cosan S.A.,Energy,Oil & Gas Refining & Marketing,2007619712.0,2.008B
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,1760221184.0,1.76B
DK,"Delek US Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,1666822912.0,1.667B
WKC,World Kinect Corporation,Energy,Oil & Gas Refining & Marketing,1489150720.0,1.489B
CAPL,CrossAmerica Partners LP,Energy,Oil & Gas Refining & Marketing,793235584.0,0.793B
CLNE,Clean Energy Fuels Corp.,Energy,Oil & Gas Refining & Marketing,576730048.0,0.577B
SGU,"Star Group, L.P.",Energy,Oil & Gas Refining & Marketing,391514560.0,0.392B
DLXY,Delixy Holdings Limited,Energy,Oil & Gas Refining & Marketing,86655000.0,0.087B
