symbol,name,sector,industry,marketCap,marketCap_str
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,141882785792.0,141.883B
RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,101898051584.0,101.898B
VALE,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,43883057152.0,43.883B
TECK,Teck Resources Limited,Basic Materials,Other Industrial Metals & Mining,16714293248.0,16.714B
MP,MP Materials Corp.,Basic Materials,Other Industrial Metals & Mining,12598751232.0,12.599B
TMC,TMC the metals company Inc.,Basic Materials,Other Industrial Metals & Mining,2828665088.0,2.829B
MTRN,Materion Corporation,Basic Materials,Other Industrial Metals & Mining,2296540672.0,2.297B
SKE,Skeena Resources Limited,Basic Materials,Other Industrial Metals & Mining,1927338752.0,1.927B
IPX,IperionX Limited,Basic Materials,Other Industrial Metals & Mining,1508794624.0,1.509B
USAR,"USA Rare Earth, Inc.",Basic Materials,Other Industrial Metals & Mining,1453612416.0,1.454B
ALM,Almonty Industries Inc.,Basic Materials,Other Industrial Metals & Mining,966050432.0,0.966B
CMP,"Compass Minerals International, Inc.",Basic Materials,Other Industrial Metals & Mining,794169728.0,0.794B
GSM,Ferroglobe PLC,Basic Materials,Other Industrial Metals & Mining,780096640.0,0.78B
SGML,Sigma Lithium Corporation,Basic Materials,Other Industrial Metals & Mining,746903552.0,0.747B
LAC,Lithium Americas Corp.,Basic Materials,Other Industrial Metals & Mining,722889280.0,0.723B
NEXA,Nexa Resources S.A.,Basic Materials,Other Industrial Metals & Mining,646302336.0,0.646B
CRML,Critical Metals Corp.,Basic Materials,Other Industrial Metals & Mining,610840640.0,0.611B
LAR,Lithium Argentina AG,Basic Materials,Other Industrial Metals & Mining,555065984.0,0.555B
LZM,Lifezone Metals Limited,Basic Materials,Other Industrial Metals & Mining,355244704.0,0.355B
NB,NioCorp Developments Ltd.,Basic Materials,Other Industrial Metals & Mining,334186752.0,0.334B
NMG,Nouveau Monde Graphite Inc.,Basic Materials,Other Industrial Metals & Mining,297263872.0,0.297B
IONR,ioneer Ltd,Basic Materials,Other Industrial Metals & Mining,186092192.0,0.186B
NEXM,NexMetals Mining Corp.,Basic Materials,Other Industrial Metals & Mining,117982704.0,0.118B
USGO,U.S. GoldMining Inc.,Basic Materials,Other Industrial Metals & Mining,117314976.0,0.117B
ATLX,Atlas Lithium Corporation,Basic Materials,Other Industrial Metals & Mining,110274560.0,0.11B
LGO,Largo Inc.,Basic Materials,Other Industrial Metals & Mining,98444152.0,0.098B
OMEX,"Odyssey Marine Exploration, Inc.",Basic Materials,Other Industrial Metals & Mining,88573576.0,0.089B
NVA,Nova Minerals Limited,Basic Materials,Other Industrial Metals & Mining,85381072.0,0.085B
FMST,Foremost Clean Energy Ltd.,Basic Materials,Other Industrial Metals & Mining,38249912.0,0.038B
LITM,Snow Lake Resources Ltd.,Basic Materials,Other Industrial Metals & Mining,31606374.0,0.032B
ELBM,Electra Battery Materials Corporation,Basic Materials,Other Industrial Metals & Mining,16439005.0,0.016B
GTI,Graphjet Technology,Basic Materials,Other Industrial Metals & Mining,14402643.0,0.014B
CHNR,"China Natural Resources, Inc.",Basic Materials,Other Industrial Metals & Mining,4637770.0,0.005B
