symbol,name,sector,industry,marketCap,marketCap_str
JBS,JBS N.V.,Consumer Defensive,Packaged Foods,35955720192.0,35.956B
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,33105291264.0,33.105B
K,Kellanova,Consumer Defensive,Packaged Foods,27639685120.0,27.64B
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,26376062976.0,26.376B
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,18881257472.0,18.881B
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,13991949312.0,13.992B
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,11789759488.0,11.79B
PPC,Pilgrim's Pride Corporation,Consumer Defensive,Packaged Foods,10558964736.0,10.559B
SFD,"Smithfield Foods, Inc.",Consumer Defensive,Packaged Foods,9996863488.0,9.997B
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,9519290368.0,9.519B
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,9157415936.0,9.157B
INGR,Ingredion Incorporated,Consumer Defensive,Packaged Foods,8313993216.0,8.314B
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,8017093632.0,8.017B
POST,"Post Holdings, Inc.",Consumer Defensive,Packaged Foods,6146319360.0,6.146B
BRFS,BRF S.A.,Consumer Defensive,Packaged Foods,6118493696.0,6.118B
DAR,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods,5371996160.0,5.372B
BRBR,"BellRing Brands, Inc.",Consumer Defensive,Packaged Foods,5171438080.0,5.171B
MZTI,The Marzetti Company,Consumer Defensive,Packaged Foods,5027708416.0,5.028B
FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,3176116992.0,3.176B
FRPT,"Freshpet, Inc.",Consumer Defensive,Packaged Foods,2722894080.0,2.723B
NOMD,Nomad Foods Limited,Consumer Defensive,Packaged Foods,2334667520.0,2.335B
JJSF,J&J Snack Foods Corp.,Consumer Defensive,Packaged Foods,2172011264.0,2.172B
CENTA,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,2114891008.0,2.115B
CENT,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,2114888960.0,2.115B
KLG,WK Kellogg Co,Consumer Defensive,Packaged Foods,1980663936.0,1.981B
UTZ,"Utz Brands, Inc.",Consumer Defensive,Packaged Foods,1156829568.0,1.157B
HLF,Herbalife Ltd.,Consumer Defensive,Packaged Foods,1008376640.0,1.008B
THS,"TreeHouse Foods, Inc.",Consumer Defensive,Packaged Foods,926169984.0,0.926B
SENEB,Seneca Foods Corporation,Consumer Defensive,Packaged Foods,775986432.0,0.776B
SENEA,Seneca Foods Corporation,Consumer Defensive,Packaged Foods,775985984.0,0.776B
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Defensive,Packaged Foods,755637184.0,0.756B
USNA,"USANA Health Sciences, Inc.",Consumer Defensive,Packaged Foods,583053120.0,0.583B
OTLY,Oatly Group AB,Consumer Defensive,Packaged Foods,533015392.0,0.533B
WEST,Westrock Coffee Company,Consumer Defensive,Packaged Foods,512370784.0,0.512B
LWAY,"Lifeway Foods, Inc.",Consumer Defensive,Packaged Foods,463951456.0,0.464B
BGS,"B&G Foods, Inc.",Consumer Defensive,Packaged Foods,360817152.0,0.361B
MAMA,"Mama's Creations, Inc.",Consumer Defensive,Packaged Foods,300133376.0,0.3B
NATR,"Nature's Sunshine Products, Inc.",Consumer Defensive,Packaged Foods,297159872.0,0.297B
BYND,"Beyond Meat, Inc.",Consumer Defensive,Packaged Foods,191615232.0,0.192B
BRCC,BRC Inc.,Consumer Defensive,Packaged Foods,176422544.0,0.176B
FTLF,"FitLife Brands, Inc.",Consumer Defensive,Packaged Foods,174861728.0,0.175B
LFVN,LifeVantage Corporation,Consumer Defensive,Packaged Foods,164905424.0,0.165B
HAIN,"The Hain Celestial Group, Inc.",Consumer Defensive,Packaged Foods,162456304.0,0.162B
BHST,BioHarvest Sciences Inc. Common Stock,Consumer Defensive,Packaged Foods,141787216.0,0.142B
ABVE,Above Food Ingredients Inc.,Consumer Defensive,Packaged Foods,95216752.0,0.095B
WYHG,Wing Yip Food Holdings Group Limited,Consumer Defensive,Packaged Foods,72476496.0,0.072B
BRID,Bridgford Foods Corporation,Consumer Defensive,Packaged Foods,67985456.0,0.068B
ATPC,Agape ATP Corporation,Consumer Defensive,Packaged Foods,65507072.0,0.066B
BRLS,Borealis Foods Inc.,Consumer Defensive,Packaged Foods,59871460.0,0.06B
CLNN,Clene Inc.,Consumer Defensive,Packaged Foods,53149836.0,0.053B
PAVS,Paranovus Entertainment Technology Ltd.,Consumer Defensive,Packaged Foods,48206484.0,0.048B
FARM,Farmer Bros. Co.,Consumer Defensive,Packaged Foods,43110800.0,0.043B
BOF,BranchOut Food Inc.,Consumer Defensive,Packaged Foods,25570196.0,0.026B
JVA,"Coffee Holding Co., Inc.",Consumer Defensive,Packaged Foods,23861948.0,0.024B
NAII,"Natural Alternatives International, Inc.",Consumer Defensive,Packaged Foods,23047298.0,0.023B
NCRA,"Nocera, Inc.",Consumer Defensive,Packaged Foods,21679122.0,0.022B
COOT,Australian Oilseeds Holdings Limited,Consumer Defensive,Packaged Foods,16769789.0,0.017B
IMG,CIMG Inc.,Consumer Defensive,Packaged Foods,9594354.0,0.01B
RKDA,"Arcadia Biosciences, Inc.",Consumer Defensive,Packaged Foods,5273083.0,0.005B
STKH,Steakholder Foods Ltd.,Consumer Defensive,Packaged Foods,4780646.0,0.005B
ORIS,Oriental Rise Holdings Limited,Consumer Defensive,Packaged Foods,4111956.0,0.004B
FAMI,"Farmmi, Inc.",Consumer Defensive,Packaged Foods,2222705.0,0.002B
