symbol,name,sector,industry,marketCap,marketCap_str
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,26230147072.0,26.23B
SW,Smurfit Westrock Plc,Consumer Cyclical,Packaging & Containers,24727840768.0,24.728B
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,19890941952.0,19.891B
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,19611779072.0,19.612B
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,14325922816.0,14.326B
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,13385541632.0,13.386B
CCK,"Crown Holdings, Inc.",Consumer Cyclical,Packaging & Containers,11565446144.0,11.565B
GPK,Graphic Packaging Holding Company,Consumer Cyclical,Packaging & Containers,6597465088.0,6.597B
SLGN,Silgan Holdings Inc.,Consumer Cyclical,Packaging & Containers,5020111360.0,5.02B
REYN,Reynolds Consumer Products Inc.,Consumer Cyclical,Packaging & Containers,4881643008.0,4.882B
SEE,Sealed Air Corporation,Consumer Cyclical,Packaging & Containers,4776175104.0,4.776B
SON,Sonoco Products Company,Consumer Cyclical,Packaging & Containers,4660319744.0,4.66B
GEF,"Greif, Inc.",Consumer Cyclical,Packaging & Containers,3165647360.0,3.166B
AMBP,Ardagh Metal Packaging S.A.,Consumer Cyclical,Packaging & Containers,2205512960.0,2.206B
OI,"O-I Glass, Inc.",Consumer Cyclical,Packaging & Containers,2001408128.0,2.001B
TRS,TriMas Corporation,Consumer Cyclical,Packaging & Containers,1571610624.0,1.572B
MYE,"Myers Industries, Inc.",Consumer Cyclical,Packaging & Containers,626238400.0,0.626B
KRT,Karat Packaging Inc.,Consumer Cyclical,Packaging & Containers,507945984.0,0.508B
PACK,Ranpak Holdings Corp.,Consumer Cyclical,Packaging & Containers,445451456.0,0.445B
MGIH,Millennium Group International Holdings Limited,Consumer Cyclical,Packaging & Containers,21148874.0,0.021B
YHGJ,Yunhong Green CTI Ltd.,Consumer Cyclical,Packaging & Containers,17056464.0,0.017B
OCTO,Eightco Holdings Inc.,Consumer Cyclical,Packaging & Containers,4597557.0,0.005B
