ticker,name,sector,industry,marketCap
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,27401545728.0
SCI,Service Corporation International,Consumer Cyclical,Personal Services,11114019840.0
HRB,"H&R Block, Inc.",Consumer Cyclical,Personal Services,6744231424.0
BFAM,Bright Horizons Family Solutions Inc.,Consumer Cyclical,Personal Services,6713159168.0
CSV,"Carriage Services, Inc.",Consumer Cyclical,Personal Services,687280320.0
MED,"Medifast, Inc.",Consumer Cyclical,Personal Services,154205136.0
FTDR,"Frontdoor, Inc.",Consumer Cyclical,Personal Services,4425601024.0
WW,"WW International, Inc.",Consumer Cyclical,Personal Services,318483200.0
EM,Smart Share Global Limited,Consumer Cyclical,Personal Services,334750688.0
YYGH,YY Group Holding Limited,Consumer Cyclical,Personal Services,129657856.0
RGS,Regis Corporation,Consumer Cyclical,Personal Services,53956956.0
MRM,MEDIROM Healthcare Technologies Inc.,Consumer Cyclical,Personal Services,14223510.0
CLIK,Click Holdings Limited,Consumer Cyclical,Personal Services,10042560.0
EJH,E-Home Household Service Holdings Limited,Consumer Cyclical,Personal Services,22604406.0
TRNR,Interactive Strength Inc.,Consumer Cyclical,Personal Services,6636993.0
IVP,"Inspire Veterinary Partners, Inc.",Consumer Cyclical,Personal Services,3350878.0
