ticker,name,sector,industry,marketCap
VLTO,Veralto Corporation,Industrials,Pollution & Treatment Controls,26352216064.0
ZWS,Zurn Elkay Water Solutions Corporation,Industrials,Pollution & Treatment Controls,7600203776.0
FSS,Federal Signal Corporation,Industrials,Pollution & Treatment Controls,7476795904.0
PCT,"PureCycle Technologies, Inc.",Industrials,Pollution & Treatment Controls,2573528832.0
CECO,CECO Environmental Corp.,Industrials,Pollution & Treatment Controls,1610608128.0
ERII,"Energy Recovery, Inc.",Industrials,Pollution & Treatment Controls,755949248.0
ADUR,Aduro Clean Technologies Inc.,Industrials,Pollution & Treatment Controls,353317888.0
ARQ,"Arq, Inc.",Industrials,Pollution & Treatment Controls,329576064.0
FTEK,"Fuel Tech, Inc.",Industrials,Pollution & Treatment Controls,90737248.0
SCWO,374Water Inc.,Industrials,Pollution & Treatment Controls,53932100.0
CLIR,ClearSign Technologies Corporation,Industrials,Pollution & Treatment Controls,30632686.0
RAIN,"Rain Enhancement Technologies Holdco, Inc.",Industrials,Pollution & Treatment Controls,27918358.0
LIQT,"LiqTech International, Inc.",Industrials,Pollution & Treatment Controls,18849288.0
TOMZ,"TOMI Environmental Solutions, Inc.",Industrials,Pollution & Treatment Controls,16539957.0
DEVS,DevvStream Corp.,Industrials,Pollution & Treatment Controls,8145841.0
CLWT,Euro Tech Holdings Company Limited,Industrials,Pollution & Treatment Controls,9749555.0
