symbol,name,sector,industry,marketCap,marketCap_str
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,36021977088.0,36.022B
WPC,W. P. Carey Inc.,Real Estate,REIT - Diversified,14694296576.0,14.694B
BNL,"Broadstone Net Lease, Inc.",Real Estate,REIT - Diversified,3672119808.0,3.672B
ESRT,"Empire State Realty Trust, Inc.",Real Estate,REIT - Diversified,2272348416.0,2.272B
GNL,"Global Net Lease, Inc.",Real Estate,REIT - Diversified,1739018112.0,1.739B
GNL,"Global Net Lease, Inc.",Real Estate,REIT - Diversified,1739018112.0,1.739B
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,1616282624.0,1.616B
SAFE,Safehold Inc.,Real Estate,REIT - Diversified,1181103744.0,1.181B
AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,754673920.0,0.755B
AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,754673920.0,0.755B
GOOD,Gladstone Commercial Corporation,Real Estate,REIT - Diversified,631957632.0,0.632B
CTO,"CTO Realty Growth, Inc.",Real Estate,REIT - Diversified,569196288.0,0.569B
CTO,"CTO Realty Growth, Inc.",Real Estate,REIT - Diversified,569196288.0,0.569B
OLP,"One Liberty Properties, Inc.",Real Estate,REIT - Diversified,516024000.0,0.516B
FVR,"FrontView REIT, Inc.",Real Estate,REIT - Diversified,273536832.0,0.274B
NXDT,NexPoint Diversified Real Estate Trust,Real Estate,REIT - Diversified,186081184.0,0.186B
NXDT,NexPoint Diversified Real Estate Trust,Real Estate,REIT - Diversified,186081184.0,0.186B
MDRR,"Medalist Diversified REIT, Inc.",Real Estate,REIT - Diversified,17116282.0,0.017B
MKZR,"MacKenzie Realty Capital, Inc.",Real Estate,REIT - Diversified,10224210.0,0.01B
SQFT,"Presidio Property Trust, Inc.",Real Estate,REIT - Diversified,7115503.0,0.007B
GIPR,"Generation Income Properties, Inc.",Real Estate,REIT - Diversified,5225462.0,0.005B
