symbol,name,sector,industry,marketCap,marketCap_str
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,112550035456.0,112.55B
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,30940387328.0,30.94B
OHI,"Omega Healthcare Investors, Inc.",Real Estate,REIT - Healthcare Facilities,12907649024.0,12.908B
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,12466919424.0,12.467B
CTRE,"CareTrust REIT, Inc.",Real Estate,REIT - Healthcare Facilities,7664689664.0,7.665B
AHR,"American Healthcare REIT, Inc.",Real Estate,REIT - Healthcare Facilities,7213324800.0,7.213B
HR,Healthcare Realty Trust Incorporated,Real Estate,REIT - Healthcare Facilities,6183247360.0,6.183B
SBRA,"Sabra Health Care REIT, Inc.",Real Estate,REIT - Healthcare Facilities,4582425088.0,4.582B
NHI,"National Health Investors, Inc.",Real Estate,REIT - Healthcare Facilities,3716676864.0,3.717B
MPW,"Medical Properties Trust, Inc.",Real Estate,REIT - Healthcare Facilities,2704950272.0,2.705B
LTC,"LTC Properties, Inc.",Real Estate,REIT - Healthcare Facilities,1681383424.0,1.681B
SILA,"Sila Realty Trust, Inc.",Real Estate,REIT - Healthcare Facilities,1375725312.0,1.376B
GMRE,Global Medical REIT Inc.,Real Estate,REIT - Healthcare Facilities,1019977472.0,1.02B
GMRE,Global Medical REIT Inc.,Real Estate,REIT - Healthcare Facilities,1019977472.0,1.02B
DHC,Diversified Healthcare Trust,Real Estate,REIT - Healthcare Facilities,919787328.0,0.92B
UHT,Universal Health Realty Income Trust,Real Estate,REIT - Healthcare Facilities,563149696.0,0.563B
CHCT,Community Healthcare Trust Incorporated,Real Estate,REIT - Healthcare Facilities,437130848.0,0.437B
