symbol,name,sector,industry,marketCap,marketCap_str
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,11985559552.0,11.986B
RHP,"Ryman Hospitality Properties, Inc.",Real Estate,REIT - Hotel & Motel,6223750144.0,6.224B
APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,3095089408.0,3.095B
PK,Park Hotels & Resorts Inc.,Real Estate,REIT - Hotel & Motel,2350988800.0,2.351B
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,REIT - Hotel & Motel,1796469376.0,1.796B
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,REIT - Hotel & Motel,1796469376.0,1.796B
DRH,DiamondRock Hospitality Company,Real Estate,REIT - Hotel & Motel,1764121856.0,1.764B
DRH,DiamondRock Hospitality Company,Real Estate,REIT - Hotel & Motel,1764121856.0,1.764B
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,1435692800.0,1.436B
PEB,Pebblebrook Hotel Trust,Real Estate,REIT - Hotel & Motel,1320914432.0,1.321B
PEB,Pebblebrook Hotel Trust,Real Estate,REIT - Hotel & Motel,1320914432.0,1.321B
RLJ,RLJ Lodging Trust,Real Estate,REIT - Hotel & Motel,1161675904.0,1.162B
RLJ,RLJ Lodging Trust,Real Estate,REIT - Hotel & Motel,1161675904.0,1.162B
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,762089728.0,0.762B
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,762089728.0,0.762B
INN,"Summit Hotel Properties, Inc.",Real Estate,REIT - Hotel & Motel,596273344.0,0.596B
INN,"Summit Hotel Properties, Inc.",Real Estate,REIT - Hotel & Motel,596273344.0,0.596B
SVC,Service Properties Trust,Real Estate,REIT - Hotel & Motel,450524672.0,0.451B
CLDT,Chatham Lodging Trust,Real Estate,REIT - Hotel & Motel,390427872.0,0.39B
CLDT,Chatham Lodging Trust,Real Estate,REIT - Hotel & Motel,390427872.0,0.39B
BHR,Braemar Hotels & Resorts Inc.,Real Estate,REIT - Hotel & Motel,211513696.0,0.212B
BHR,Braemar Hotels & Resorts Inc.,Real Estate,REIT - Hotel & Motel,211513696.0,0.212B
SOHON,Sotherly Hotels Inc.,Real Estate,REIT - Hotel & Motel,51080820.0,0.051B
SOHOO,Sotherly Hotels Inc.,Real Estate,REIT - Hotel & Motel,49950484.0,0.05B
SOHOB,Sotherly Hotels Inc.,Real Estate,REIT - Hotel & Motel,48793128.0,0.049B
SOHO,Sotherly Hotels Inc.,Real Estate,REIT - Hotel & Motel,29603946.0,0.03B
