symbol,name,sector,industry,marketCap,marketCap_str
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,105595002880.0,105.595B
PSA,Public Storage,Real Estate,REIT - Industrial,51686694912.0,51.687B
PSA,Public Storage,Real Estate,REIT - Industrial,51686694912.0,51.687B
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,31817469952.0,31.817B
LINE,"Lineage, Inc.",Real Estate,REIT - Industrial,10468992000.0,10.469B
REXR,"Rexford Industrial Realty, Inc.",Real Estate,REIT - Industrial,10139404288.0,10.139B
REXR,"Rexford Industrial Realty, Inc.",Real Estate,REIT - Industrial,10139404288.0,10.139B
CUBE,CubeSmart,Real Estate,REIT - Industrial,9380090880.0,9.38B
EGP,"EastGroup Properties, Inc.",Real Estate,REIT - Industrial,9043380224.0,9.043B
FR,"First Industrial Realty Trust, Inc.",Real Estate,REIT - Industrial,7180162560.0,7.18B
STAG,"STAG Industrial, Inc.",Real Estate,REIT - Industrial,7027147264.0,7.027B
TRNO,Terreno Realty Corporation,Real Estate,REIT - Industrial,5967756800.0,5.968B
NSA,National Storage Affiliates Trust,Real Estate,REIT - Industrial,4741387776.0,4.741B
NSA,National Storage Affiliates Trust,Real Estate,REIT - Industrial,4741387776.0,4.741B
COLD,"Americold Realty Trust, Inc.",Real Estate,REIT - Industrial,4125984256.0,4.126B
LXP,LXP Industrial Trust,Real Estate,REIT - Industrial,2693236992.0,2.693B
LXP,LXP Industrial Trust,Real Estate,REIT - Industrial,2693236992.0,2.693B
SMA,"SmartStop Self Storage REIT, Inc.",Real Estate,REIT - Industrial,2017479808.0,2.017B
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,REIT - Industrial,1587766144.0,1.588B
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,REIT - Industrial,1587766144.0,1.588B
PLYM,"Plymouth Industrial REIT, Inc.",Real Estate,REIT - Industrial,990968000.0,0.991B
ILPT,Industrial Logistics Properties Trust,Real Estate,REIT - Industrial,408629760.0,0.409B
MDV,"Modiv Industrial, Inc.",Real Estate,REIT - Industrial,154101408.0,0.154B
MDV,"Modiv Industrial, Inc.",Real Estate,REIT - Industrial,154101408.0,0.154B
