symbol,name,sector,industry,marketCap,marketCap_str
NLY,"Annaly Capital Management, Inc.",Real Estate,REIT - Mortgage,13605591040.0,13.606B
NLY,"Annaly Capital Management, Inc.",Real Estate,REIT - Mortgage,13605591040.0,13.606B
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,10167284736.0,10.167B
AGNCM,AGNC Investment Corp.,Real Estate,REIT - Mortgage,8919369728.0,8.919B
AGNCN,AGNC Investment Corp.,Real Estate,REIT - Mortgage,8764869632.0,8.765B
STWD,"Starwood Property Trust, Inc.",Real Estate,REIT - Mortgage,7636499968.0,7.636B
RITM,Rithm Capital Corp.,Real Estate,REIT - Mortgage,6565015040.0,6.565B
RITM,Rithm Capital Corp.,Real Estate,REIT - Mortgage,6565015040.0,6.565B
BXMT,"Blackstone Mortgage Trust, Inc.",Real Estate,REIT - Mortgage,3356085248.0,3.356B
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,2489191424.0,2.489B
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,2489191424.0,2.489B
ARR,"ARMOUR Residential REIT, Inc.",Real Estate,REIT - Mortgage,1765855488.0,1.766B
ARR,"ARMOUR Residential REIT, Inc.",Real Estate,REIT - Mortgage,1765855488.0,1.766B
DX,"Dynex Capital, Inc.",Real Estate,REIT - Mortgage,1639489408.0,1.639B
DX,"Dynex Capital, Inc.",Real Estate,REIT - Mortgage,1639489408.0,1.639B
LADR,Ladder Capital Corp,Real Estate,REIT - Mortgage,1481096832.0,1.481B
ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,REIT - Mortgage,1471416960.0,1.471B
EFC,Ellington Financial Inc.,Real Estate,REIT - Mortgage,1362552832.0,1.363B
EFC,Ellington Financial Inc.,Real Estate,REIT - Mortgage,1362552832.0,1.363B
CIM,Chimera Investment Corporation,Real Estate,REIT - Mortgage,1148802944.0,1.149B
CIM,Chimera Investment Corporation,Real Estate,REIT - Mortgage,1148802944.0,1.149B
NYMTN,"New York Mortgage Trust, Inc.",Real Estate,REIT - Mortgage,1144662272.0,1.145B
PMT,PennyMac Mortgage Investment Trust,Real Estate,REIT - Mortgage,1071174400.0,1.071B
PMT,PennyMac Mortgage Investment Trust,Real Estate,REIT - Mortgage,1071174400.0,1.071B
MFA,"MFA Financial, Inc.",Real Estate,REIT - Mortgage,1047223808.0,1.047B
MFA,"MFA Financial, Inc.",Real Estate,REIT - Mortgage,1047223808.0,1.047B
TWO,Two Harbors Investment Corp.,Real Estate,REIT - Mortgage,1041320000.0,1.041B
TWO,Two Harbors Investment Corp.,Real Estate,REIT - Mortgage,1041320000.0,1.041B
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,REIT - Mortgage,950273984.0,0.95B
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,REIT - Mortgage,950273984.0,0.95B
ORC,"Orchid Island Capital, Inc.",Real Estate,REIT - Mortgage,940201344.0,0.94B
RWT,"Redwood Trust, Inc.",Real Estate,REIT - Mortgage,790844736.0,0.791B
RWT,"Redwood Trust, Inc.",Real Estate,REIT - Mortgage,790844736.0,0.791B
BRSP,"BrightSpire Capital, Inc.",Real Estate,REIT - Mortgage,753965248.0,0.754B
TRTX,"TPG RE Finance Trust, Inc.",Real Estate,REIT - Mortgage,734822144.0,0.735B
TRTX,"TPG RE Finance Trust, Inc.",Real Estate,REIT - Mortgage,734822144.0,0.735B
RC,Ready Capital Corporation,Real Estate,REIT - Mortgage,702601856.0,0.703B
RC,Ready Capital Corporation,Real Estate,REIT - Mortgage,702601856.0,0.703B
NYMT,"New York Mortgage Trust, Inc.",Real Estate,REIT - Mortgage,652067072.0,0.652B
KREF,KKR Real Estate Finance Trust Inc.,Real Estate,REIT - Mortgage,632460864.0,0.632B
KREF,KKR Real Estate Finance Trust Inc.,Real Estate,REIT - Mortgage,632460864.0,0.632B
IVR,Invesco Mortgage Capital Inc.,Real Estate,REIT - Mortgage,518523872.0,0.519B
IVR,Invesco Mortgage Capital Inc.,Real Estate,REIT - Mortgage,518523872.0,0.519B
CMTG,"Claros Mortgage Trust, Inc.",Real Estate,REIT - Mortgage,517341408.0,0.517B
