symbol,name,sector,industry,marketCap,marketCap_str
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,14074238976.0,14.074B
BXP,"BXP, Inc.",Real Estate,REIT - Office,12819986432.0,12.82B
VNO,Vornado Realty Trust,Real Estate,REIT - Office,7938723840.0,7.939B
VNO,Vornado Realty Trust,Real Estate,REIT - Office,7938723840.0,7.939B
KRC,Kilroy Realty Corporation,Real Estate,REIT - Office,4967717376.0,4.968B
CUZ,Cousins Properties Incorporated,Real Estate,REIT - Office,4954113536.0,4.954B
SLG,SL Green Realty Corp.,Real Estate,REIT - Office,4316511744.0,4.317B
SLG,SL Green Realty Corp.,Real Estate,REIT - Office,4316511744.0,4.317B
HIW,"Highwoods Properties, Inc.",Real Estate,REIT - Office,3475362816.0,3.475B
CDP,COPT Defense Properties,Real Estate,REIT - Office,3319226368.0,3.319B
DEI,"Douglas Emmett, Inc.",Real Estate,REIT - Office,3289754368.0,3.29B
HPP,"Hudson Pacific Properties, Inc.",Real Estate,REIT - Office,2157458944.0,2.157B
HPP,"Hudson Pacific Properties, Inc.",Real Estate,REIT - Office,2157458944.0,2.157B
PGRE,"Paramount Group, Inc.",Real Estate,REIT - Office,1715529600.0,1.716B
JBGS,JBG SMITH Properties,Real Estate,REIT - Office,1374741376.0,1.375B
DEA,"Easterly Government Properties, Inc.",Real Estate,REIT - Office,1162573952.0,1.163B
PDM,"Piedmont Realty Trust, Inc.",Real Estate,REIT - Office,1054548928.0,1.055B
BDN,Brandywine Realty Trust,Real Estate,REIT - Office,742155968.0,0.742B
PSTL,"Postal Realty Trust, Inc.",Real Estate,REIT - Office,496842208.0,0.497B
PKST,Peakstone Realty Trust,Real Estate,REIT - Office,467980256.0,0.468B
NLOP,,Real Estate,REIT - Office,438793664.0,0.439B
CIO,"City Office REIT, Inc.",Real Estate,REIT - Office,279719744.0,0.28B
CIO,"City Office REIT, Inc.",Real Estate,REIT - Office,279719744.0,0.28B
ONL,Orion Properties Inc.,Real Estate,REIT - Office,167254368.0,0.167B
OPI,Office Properties Income Trust,Real Estate,REIT - Office,15786522.0,0.016B
CMCT,Creative Media & Community Trust Corporation,Real Estate,REIT - Office,4731386.0,0.005B
