symbol,name,sector,industry,marketCap,marketCap_str
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,27885713408.0,27.886B
EQR,Equity Residential,Real Estate,REIT - Residential,26022320128.0,26.022B
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,19181021184.0,19.181B
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,18662998016.0,18.663B
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,17501462528.0,17.501B
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,17501462528.0,17.501B
SUI,"Sun Communities, Inc.",Real Estate,REIT - Residential,16543594496.0,16.544B
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,15126320128.0,15.126B
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,15126320128.0,15.126B
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,15126320128.0,15.126B
UDR,"UDR, Inc.",Real Estate,REIT - Residential,14931620864.0,14.932B
ELS,"Equity LifeStyle Properties, Inc.",Real Estate,REIT - Residential,12232479744.0,12.232B
CPT,Camden Property Trust,Real Estate,REIT - Residential,11965399040.0,11.965B
MRP,"Millrose Properties, Inc.",Real Estate,REIT - Residential,5861601280.0,5.862B
IRT,"Independence Realty Trust, Inc.",Real Estate,REIT - Residential,4342035968.0,4.342B
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,REIT - Residential,1774452352.0,1.774B
VRE,"Veris Residential, Inc.",Real Estate,REIT - Residential,1740713216.0,1.741B
ELME,Elme Communities,Real Estate,REIT - Residential,1505791616.0,1.506B
UMH,"UMH Properties, Inc.",Real Estate,REIT - Residential,1332535936.0,1.333B
UMH,"UMH Properties, Inc.",Real Estate,REIT - Residential,1332535936.0,1.333B
AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,1114451840.0,1.114B
CSR,Centerspace,Real Estate,REIT - Residential,1054619648.0,1.055B
BRT,BRT Apartments Corp.,Real Estate,REIT - Residential,287680000.0,0.288B
CLPR,Clipper Realty Inc.,Real Estate,REIT - Residential,190238272.0,0.19B
