symbol,name,sector,industry,marketCap,marketCap_str
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,68146221056.0,68.146B
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,68146221056.0,68.146B
O,Realty Income Corporation,Real Estate,REIT - Retail,53724618752.0,53.725B
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,15230227456.0,15.23B
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,15230227456.0,15.23B
REG,Regency Centers Corporation,Real Estate,REIT - Retail,13242125312.0,13.242B
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,8727267328.0,8.727B
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,8727267328.0,8.727B
BRX,Brixmor Property Group Inc.,Real Estate,REIT - Retail,8567738880.0,8.568B
NNN,"NNN REIT, Inc.",Real Estate,REIT - Retail,8100635648.0,8.101B
ADC,Agree Realty Corporation,Real Estate,REIT - Retail,8075158016.0,8.075B
ADC,Agree Realty Corporation,Real Estate,REIT - Retail,8075158016.0,8.075B
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,REIT - Retail,6223064576.0,6.223B
KRG,Kite Realty Group Trust,Real Estate,REIT - Retail,5127836672.0,5.128B
MAC,The Macerich Company,Real Estate,REIT - Retail,4871565824.0,4.872B
PECO,"Phillips Edison & Company, Inc.",Real Estate,REIT - Retail,4871140352.0,4.871B
SKT,Tanger Inc.,Real Estate,REIT - Retail,3868287232.0,3.868B
AKR,Acadia Realty Trust,Real Estate,REIT - Retail,2830774784.0,2.831B
UE,Urban Edge Properties,Real Estate,REIT - Retail,2795343104.0,2.795B
FCPT,"Four Corners Property Trust, Inc.",Real Estate,REIT - Retail,2704572928.0,2.705B
CURB,Curbline Properties Corp.,Real Estate,REIT - Retail,2370493952.0,2.37B
IVT,InvenTrust Properties Corp.,Real Estate,REIT - Retail,2310342656.0,2.31B
NTST,NETSTREIT Corp.,Real Estate,REIT - Retail,1761563008.0,1.762B
GTY,Getty Realty Corp.,Real Estate,REIT - Retail,1617982464.0,1.618B
ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT - Retail,1407048704.0,1.407B
ALX,"Alexander's, Inc.",Real Estate,REIT - Retail,1176413184.0,1.176B
BFS,"Saul Centers, Inc.",Real Estate,REIT - Retail,1174720128.0,1.175B
BFS,"Saul Centers, Inc.",Real Estate,REIT - Retail,1174720128.0,1.175B
CBL,"CBL & Associates Properties, Inc.",Real Estate,REIT - Retail,985222400.0,0.985B
WSR,Whitestone REIT,Real Estate,REIT - Retail,679856128.0,0.68B
SITC,SITE Centers Corp.,Real Estate,REIT - Retail,645749952.0,0.646B
PINE,"Alpine Income Property Trust, Inc.",Real Estate,REIT - Retail,234883152.0,0.235B
WHLRD,"Wheeler Real Estate Investment Trust, Inc.",Real Estate,REIT - Retail,32853322.0,0.033B
WHLR,"Wheeler Real Estate Investment Trust, Inc.",Real Estate,REIT - Retail,4111338.0,0.004B
WHLRP,"Wheeler Real Estate Investment Trust, Inc.",Real Estate,REIT - Retail,3936738.0,0.004B
